# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA
471	*barwōn	bier	English	129	b ɪə r	bɪər
472	*barwōn	baar	Dutch	129	b aː r	baːr
#
1178	*barzan	*barzan	Proto-Germanic	323	b a r z	barzan
1179	*barzan	Barsch	German	323	b aː r ʃ	baːrʃ
1180	*barzan	baars	Dutch	323	b aː r s	baːrs
#
1631	*bastan	*bastan	Proto-Germanic	448	b a s t	bastan
1632	*bastan	Bast	German	448	b a s t	bast
1633	*bastan	bast	English	448	b æ s t	bæst
1634	*bastan	bast	Dutch	448	b ɑ s t	bɑst
#
1295	*baugjanan	*baugjanan	Proto-Germanic	356	b au g j a n	baugjanan
1296	*baugjanan	beugen	German	356	b ɔy ɡ ə n	bɔyɡən
1297	*baugjanan	bow	English	356	b əʊ	bəʊ
1298	*baugjanan	buigen	Dutch	356	b œy ɣ ə	bœyɣə
#
259	*bazjan	*bazjan	Proto-Germanic	72	b a z j	bazjan
260	*bazjan	Beere	German	72	b eː r ə	beːrə
261	*bazjan	berry	English	72	b ɛ r ɪ	bɛrɪ
262	*bazjan	bes	Dutch	72	b ɛ s	bɛs
#
1310	*baθan	*baθan	Proto-Germanic	360	b a θ	baθan
1311	*baθan	Bad	German	360	b aː t	baːt
1312	*baθan	bath	English	360	b ɑː θ	bɑːθ
1313	*baθan	bad	Dutch	360	b ɑ t	bɑt
#
1851	*bebruz	*bebruz	Proto-Germanic	508	b e b r	bebruz
1852	*bebruz	Biber	German	508	b iː b ə r	biːbər
1853	*bebruz	beaver	English	508	b iː v ə r	biːvər
1854	*bebruz	bever	Dutch	508	b eː v ə r	beːvər
#
581	*bendanan	*bendanan	Proto-Germanic	160	b e n d a n	bendanan
582	*bendanan	binden	German	160	b ɪ n d ə n	bɪndən
583	*bendanan	bind	English	160	b aɪ n d	baɪnd
584	*bendanan	binden	Dutch	160	b ɪ n d ə	bɪndə
#
1916	*benutaz	*benutaz	Proto-Germanic	526	b e n u t	benutaz
1917	*benutaz	Binse	German	526	b ɪ n z ə	bɪnzə
1918	*benutaz	bies	Dutch	526	b iː s	biːs
#
218	*bergan	*bergan	Proto-Germanic	61	b e r g	bergan
219	*bergan	Berg	German	61	b ɛ r k	bɛrk
220	*bergan	barrow	English	61	b æ r əʊ	bærəʊ
221	*bergan	berg	Dutch	61	b ɛ r x	bɛrx
#
1532	*berganan	*berganan	Proto-Germanic	420	b e r g a n	berganan
1533	*berganan	bergen	German	420	b ɛ r ɡ ə n	bɛrɡən
1534	*berganan	bergen	Dutch	420	b ɛ r ɣ ə	bɛrɣə
#
543	*beudanan	*beudanan	Proto-Germanic	149	b eu d a n	beudanan
544	*beudanan	bieten	German	149	b iː t ə n	biːtən
545	*beudanan	bid	English	149	b ɪ d	bɪd
546	*beudanan	bieden	Dutch	149	b iː d ə	biːdə
#
927	*beuganan	*beuganan	Proto-Germanic	255	b eu g a n	beuganan
928	*beuganan	biegen	German	255	b iː ɡ ə n	biːɡən
