# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA
198	*gangaz	*gangaz	Proto-Germanic	56	g a n g	gangaz
199	*gangaz	Gang	German	56	ɡ a ŋ	ɡaŋ
200	*gangaz	gang	English	56	ɡ æ ŋ	ɡæŋ
201	*gangaz	gang	Dutch	56	x ɑ ŋ	xɑŋ
#
1291	*gansz	*gansz	Proto-Germanic	355	g a n s z	gansz
1292	*gansz	Gans	German	355	ɡ a n s	ɡans
1293	*gansz	goose	English	355	ɡ uː s	ɡuːs
1294	*gansz	gans	Dutch	355	x ɑ n s	xɑns
#
561	*garnan	*garnan	Proto-Germanic	154	g a r n	garnan
562	*garnan	Garn	German	154	ɡ a r n	ɡarn
563	*garnan	yarn	English	154	j ɑː n	jɑːn
564	*garnan	garen	Dutch	154	x aː r ə	xaːrə
#
1613	*gastiz	*gastiz	Proto-Germanic	443	g a s t	gastiz
1614	*gastiz	Gast	German	443	ɡ a s t	ɡast
1615	*gastiz	guest	English	443	ɡ ɛ s t	ɡɛst
1616	*gastiz	gast	Dutch	443	x ɑ s t	xɑst
#
749	*gebanan	*gebanan	Proto-Germanic	206	g e b a n	gebanan
750	*gebanan	geben	German	206	ɡ eː b ə n	ɡeːbən
751	*gebanan	give	English	206	ɡ ɪ v	ɡɪv
752	*gebanan	geven	Dutch	206	x eː v ə	xeːvə
#
618	*geftiz	*geftiz	Proto-Germanic	171	g e f t	geftiz
619	*geftiz	Gift	German	171	ɡ ɪ f t	ɡɪft
620	*geftiz	gift	English	171	ɡ ɪ f t	ɡɪft
621	*geftiz	gift	Dutch	171	x ɪ f t	xɪft
#
1137	*geldanan	*geldanan	Proto-Germanic	312	g e l d a n	geldanan
1138	*geldanan	gelten	German	312	ɡ ɛ l t ə n	ɡɛltən
1139	*geldanan	gelden	Dutch	312	x ɛ l d ə	xɛldə
#
1151	*gennanan	*gennanan	Proto-Germanic	316	g e nn a n	gennanan
1152	*gennanan	beginnen	German	316	b ə ɡ ɪ n ə n	bəɡɪnən
1153	*gennanan	begin	English	316	b ɪ ɡ ɪ n	bɪɡɪn
1154	*gennanan	beginnen	Dutch	316	b ə ɣ ɪ n ə	bəɣɪnə
#
1477	*glōdiz	*glōdiz	Proto-Germanic	405	g l oː d	gloːdiz
1478	*glōdiz	Glut	German	405	ɡ l uː t	ɡluːt
1479	*glōdiz	gloed	Dutch	405	x l uː t	xluːt
#
131	*grabanan	*grabanan	Proto-Germanic	37	g r a b a n	grabanan
132	*grabanan	graben	German	37	ɡ r aː b ə n	ɡraːbən
133	*grabanan	grave	English	37	ɡ r ɑː v	ɡrɑːv
134	*grabanan	graven	Dutch	37	x r aː v ə	xraːvə
#
788	*grasan	*grasan	Proto-Germanic	216	g r a s	grasan
789	*grasan	Gras	German	216	ɡ r aː s	ɡraːs
790	*grasan	grass	English	216	ɡ r ɑː s	ɡrɑːs
791	*grasan	gras	Dutch	216	x r ɑ s	xrɑs
#
97	*grunduz	*grunduz	Proto-Germanic	28	g r u n d	grunduz
98	*grunduz	Grund	German	28	ɡ r ʊ n t	ɡrʊnt
99	*grunduz	ground	English	28	ɡ r aʊ n d	ɡraʊnd
100	*grunduz	grond	Dutch	28	x r ɔ n t	xrɔnt
#
240	*grīpanan	*grīpanan	Proto-Germanic	67	g r iː p a n	griːpanan
241	*grīpanan	greifen	German	67	ɡ r ai f ə n	ɡraifən
242	*grīpanan	gripe	English	67	ɡ r aɪ p	ɡraɪp
243	*grīpanan	grijpen	Dutch	67	x r ɛɪ p ə	xrɛɪpə
#
145	*grōbō	*grōbō	Proto-Germanic	41	g r oː b oː	groːboː
146	*grōbō	Grube	German	41	ɡ r uː b ə	ɡruːbə
147	*grōbō	groeve	Dutch	41	x r uː v ə	xruːvə
#
1873	*gud	*gud	Proto-Germanic	514	g u d	gud
1874	*gud	Gott	German	514	ɡ ɔ t	ɡɔt
1875	*gud	god	English	514	ɡ ɔ d	ɡɔd
1876	*gud	god	Dutch	514	x ɔ t	xɔt
#
1855	*gudaz	*gudaz	Proto-Germanic	509	g u d	gudaz
1856	*gudaz	Abgott	German	509	a p ɡ ɔ t	apɡɔt
1857	*gudaz	afgod	Dutch	509	ɑ f x ɔ t	ɑfxɔt
#
1086	*gulθan	*gulθan	Proto-Germanic	298	g u l θ	gulθan
1087	*gulθan	Gold	German	298	ɡ ɔ l t	ɡɔlt
1088	*gulθan	gold	English	298	ɡ əʊ l d	ɡəʊld
1089	*gulθan	goud	Dutch	298	x ɑu t	xɑut
#
867	*jugunθiz	*jugunθiz	Proto-Germanic	239	j u g u n θ	jugunθiz
868	*jugunθiz	Jugend	German	239	j uː ɡ ə n t	juːɡənt
869	*jugunθiz	youth	English	239	j uː θ	juːθ
870	*jugunθiz	jeugd	Dutch	239	j øː x t	jøːxt
#
828	*jukan	*jukan	Proto-Germanic	228	j u k	jukan
829	*jukan	Joch	German	228	j ɔ x	jɔx
830	*jukan	yoke	English	228	j əʊ k	jəʊk
831	*jukan	juk	Dutch	228	j ʉ k	jʉk
#
1845	*jēmraz	*jēmraz	Proto-Germanic	506	j eː m r	jeːmraz
1846	*jēmraz	Jammer	German	506	j a m ə r	jamər
1847	*jēmraz	jammer	Dutch	506	j ɑ m ə r	jɑmər
#
1019	*jēran	*jēran	Proto-Germanic	280	j eː r	jeːran
1020	*jēran	Jahr	German	280	j aː r	jaːr
1021	*jēran	year	English	280	j ɪə r	jɪər
1022	*jēran	jaar	Dutch	280	j aː r	jaːr
#
190	*kalbaz	*kalbaz	Proto-Germanic	54	k a l b	kalbaz
191	*kalbaz	Kalb	German	54	k a l p	kalp
192	*kalbaz	calf	English	54	k ɑː f	kɑːf
193	*kalbaz	kalf	Dutch	54	k ɑ l f	kɑlf
#
1677	*kambaz	*kambaz	Proto-Germanic	460	k a m b	kambaz
1678	*kambaz	Kamm	German	460	k a m	kam
1679	*kambaz	comb	English	460	k əʊ m	kəʊm
1680	*kambaz	kam	Dutch	460	k ɑ m	kɑm
#
421	*kernōn	*kernōn	Proto-Germanic	116	k e r n oː n	kernoːn
422	*kernōn	Kern	German	116	k ɛ r n	kɛrn
423	*kernōn	kern	Dutch	116	k ɛ r n	kɛrn
#
990	*kewwanan	*kewwanan	Proto-Germanic	272	k e ww a n	kewwanan
991	*kewwanan	kauen	German	272	k auə n	kauən
992	*kewwanan	chew	English	272	ʧ uː	ʧuː
993	*kewwanan	kauwen	Dutch	272	k ɑu ʋ ə	kɑuʋə
#
554	*klembanan	*klembanan	Proto-Germanic	152	k l e m b a n	klembanan
555	*klembanan	klimmen	German	152	k l ɪ m ə n	klɪmən
556	*klembanan	climb	English	152	k l aɪ m	klaɪm
557	*klembanan	klimmen	Dutch	152	k l ɪ m ə	klɪmə
#
1521	*klibēnan	*klibēnan	Proto-Germanic	417	k l i b eː n	klibeːnan
1522	*klibēnan	kleben	German	417	k l eː b ə n	kleːbən
1523	*klibēnan	kleven	Dutch	417	k l eː v ə	kleːvə
#
148	*knabilaz	*knabilaz	Proto-Germanic	42	k n a b i l	knabilaz
149	*knabilaz	Knebel	German	42	k n eː b ə l	kneːbəl
150	*knabilaz	knevel	Dutch	42	k n eː v ə l	kneːvəl
#
768	*knakkaz	*knakkaz	Proto-Germanic	211	k n a kk	knakkaz
769	*knakkaz	Knecht	German	211	k n ɛ x t	knɛxt
770	*knakkaz	knight	English	211	n aɪ t	naɪt
771	*knakkaz	knecht	Dutch	211	k n ɛ x t	knɛxt
#
1835	*knedanan	*knedanan	Proto-Germanic	503	k n e d a n	knedanan
1836	*knedanan	kneten	German	503	k n eː t ə n	kneːtən
1837	*knedanan	knead	English	503	n iː d	niːd
1838	*knedanan	kneden	Dutch	503	k n eː d ə	kneːdə
#
905	*knewan	*knewan	Proto-Germanic	249	k n e w	knewan
906	*knewan	Knie	German	249	k n iː	kniː
907	*knewan	knee	English	249	n iː	niː
908	*knewan	knie	Dutch	249	k n iː	kniː
#
536	*knuppaz	*knuppaz	Proto-Germanic	147	k n u pp	knuppaz
537	*knuppaz	Knopf	German	147	k n ɔ p͡f	knɔp͡f
538	*knuppaz	knob	English	147	n ɔ b	nɔb
539	*knuppaz	knoop	Dutch	147	k n oː p	knoːp
#
1505	*kraftiz	*kraftiz	Proto-Germanic	413	k r a f t	kraftiz
1506	*kraftiz	Kraft	German	413	k r a f t	kraft
1507	*kraftiz	craft	English	413	k r ɑː f t	krɑːft
1508	*kraftiz	kracht	Dutch	413	k r ɑ x t	krɑxt
#
878	*kruppaz	*kruppaz	Proto-Germanic	242	k r u pp	kruppaz
879	*kruppaz	Kropf	German	242	k r ɔ p͡f	krɔp͡f
880	*kruppaz	crop	English	242	k r ɔ p	krɔp
881	*kruppaz	krop	Dutch	242	k r ɔ p	krɔp
#
5	*kurnan	*kurnan	Proto-Germanic	2	k u r n	kurnan
6	*kurnan	Korn	German	2	k ɔ r n	kɔrn
7	*kurnan	corn	English	2	k ɔː n	kɔːn
8	*kurnan	koren	Dutch	2	k oː r ə	koːrə
#
598	*kwalō	*kwalō	Proto-Germanic	165	k w a l oː	kwaloː
599	*kwalō	Qual	German	165	k v aː l	kvaːl
600	*kwalō	kwaal	Dutch	165	k ʋ aː l	kʋaːl
#
1244	*kwiθuz	*kwiθuz	Proto-Germanic	342	k w i θ	kwiθuz
1245	*kwiθuz	Kitt	German	342	k ɪ t	kɪt
1246	*kwiθuz	cud	English	342	k ʌ d	kʌd
1247	*kwiθuz	kit	Dutch	342	k ɪ t	kɪt
#
1090	*kōwz	*kōwz	Proto-Germanic	299	k oː w z	koːwz
1091	*kōwz	Kuh	German	299	k uː	kuː
1092	*kōwz	cow	English	299	k aʊ	kaʊ
1093	*kōwz	koe	Dutch	299	k uː	kuː
#
1551	*labbaz	*labbaz	Proto-Germanic	426	l a bb	labbaz
1552	*labbaz	Lappen	German	426	l a p ə n	lapən
1553	*labbaz	lap	English	426	l æ p	læp
1554	*labbaz	lap	Dutch	426	l ɑ p	lɑp
#
1743	*laidjanan	*laidjanan	Proto-Germanic	478	l ai d j a n	laidjanan
1744	*laidjanan	leiten	German	478	l ai t ə n	laitən
1745	*laidjanan	lead	English	478	l iː d	liːd
1746	*laidjanan	leiden	Dutch	478	l ɛɪ d ə	lɛɪdə
#
901	*laimōn	*laimōn	Proto-Germanic	248	l ai m oː n	laimoːn
902	*laimōn	Lehm	German	248	l eː m	leːm
903	*laimōn	loam	English	248	l əʊ m	ləʊm
904	*laimōn	leem	Dutch	248	l eː m	leːm
#
1703	*laisjanan	*laisjanan	Proto-Germanic	467	l ai s j a n	laisjanan
1704	*laisjanan	lehren	German	467	l eː r ə n	leːrən
1705	*laisjanan	leren	Dutch	467	l eː r ə	leːrə
#
533	*laistjanan	*laistjanan	Proto-Germanic	146	l ai s t j a n	laistjanan
534	*laistjanan	leisten	German	146	l ai s t ə n	laistən
535	*laistjanan	last	English	146	l ɑː s t	lɑːst
#
255	*laiθaz	*laiθaz	Proto-Germanic	71	l ai θ	laiθaz
256	*laiθaz	Leid	German	71	l ai t	lait
257	*laiθaz	loath	English	71	l əʊ θ	ləʊθ
258	*laiθaz	leed	Dutch	71	l eː t	leːt
#
1060	*lakanan	*lakanan	Proto-Germanic	291	l a k a n	lakanan
1061	*lakanan	lachen	German	291	l a x ə n	laxən
1062	*lakanan	laugh	English	291	l ɑː f	lɑːf
1063	*lakanan	lachen	Dutch	291	l ɑ x ə	lɑxə
#
1352	*landan	*landan	Proto-Germanic	371	l a n d	landan
1353	*landan	Land	German	371	l a n t	lant
1354	*landan	land	English	371	l æ n d	lænd
1355	*landan	land	Dutch	371	l ɑ n t	lɑnt
#
1471	*landīn	*landīn	Proto-Germanic	403	l a n d iː n	landiːn
1472	*landīn	Lende	German	403	l ɛ n d ə	lɛndə
1473	*landīn	lende	Dutch	403	l ɛ n d ə	lɛndə
#
661	*lauban	*lauban	Proto-Germanic	182	l au b	lauban
662	*lauban	Laub	German	182	l au p	laup
663	*lauban	leaf	English	182	l iː f	liːf
664	*lauban	loof	Dutch	182	l oː f	loːf
#
263	*laubjanan	*laubjanan	Proto-Germanic	73	l au b j a n	laubjanan
264	*laubjanan	glauben	German	73	ɡ l au b ə n	ɡlaubən
265	*laubjanan	believe	English	73	b ɪ l iː v	bɪliːv
266	*laubjanan	geloven	Dutch	73	x ə l oː v ə	xəloːvə
#
368	*laugō	*laugō	Proto-Germanic	102	l au g oː	laugoː
369	*laugō	Lauge	German	102	l au ɡ ə	lauɡə
370	*laugō	lye	English	102	l aɪ	laɪ
371	*laugō	loog	Dutch	102	l oː x	loːx
#
784	*laukaz	*laukaz	Proto-Germanic	215	l au k	laukaz
785	*laukaz	Lauch	German	215	l au x	laux
786	*laukaz	leek	English	215	l iː k	liːk
787	*laukaz	look	Dutch	215	l uː k	luːk
#
1820	*launan	*launan	Proto-Germanic	499	l au n	launan
1821	*launan	Lohn	German	499	l oː n	loːn
1822	*launan	loon	Dutch	499	l oː n	loːn
#
1045	*laxstran	*laxstran	Proto-Germanic	287	l a x s t r	laxstran
1046	*laxstran	Laster	German	287	l a s t ə r	lastər
1047	*laxstran	laster	Dutch	287	l ɑ s t ə r	lɑstər
#
402	*laθōjanan	*laθōjanan	Proto-Germanic	111	l a θ oː j a n	laθoːjanan
403	*laθōjanan	laden	German	111	l aː d ə n	laːdən
404	*laθōjanan	lade	English	111	l eɪ d	leɪd
405	*laθōjanan	laden	Dutch	111	l aː d ə	laːdə
#
1724	*lendō	*lendō	Proto-Germanic	473	l e n d oː	lendoː
1725	*lendō	Linde	German	473	l ɪ n d ə	lɪndə
1726	*lendō	linden	English	473	l ɪ n d ə n	lɪndən
1727	*lendō	linde	Dutch	473	l ɪ n d ə	lɪndə
#
1842	*lesanan	*lesanan	Proto-Germanic	505	l e s a n	lesanan
1843	*lesanan	lesen	German	505	l eː z ə n	leːzən
1844	*lesanan	lezen	Dutch	505	l eː z ə	leːzə
#
1390	*leusanan	*leusanan	Proto-Germanic	381	l eu s a n	leusanan
1391	*leusanan	verlieren	German	381	f ɛ r l iː r ə n	fɛrliːrən
1392	*leusanan	forlorn	English	381	f ə l ɔː n	fəlɔːn
1393	*leusanan	verliezen	Dutch	381	v ə r l iː z ə	vərliːzə
#
525	*leuxtjanan	*leuxtjanan	Proto-Germanic	144	l eu x t j a n	leuxtjanan
526	*leuxtjanan	leuchten	German	144	l ɔy x t ə n	lɔyxtən
527	*leuxtjanan	light	English	144	l aɪ t	laɪt
528	*leuxtjanan	lichten	Dutch	144	l ɪ x t ə	lɪxtə
#
267	*leuθan	*leuθan	Proto-Germanic	74	l eu θ	leuθan
268	*leuθan	Lied	German	74	l iː t	liːt
269	*leuθan	lied	Dutch	74	l iː t	liːt
#
45	*leθran	*leθran	Proto-Germanic	13	l e θ r	leθran
46	*leθran	Leder	German	13	l eː d ə r	leːdər
47	*leθran	leather	English	13	l ɛ ð ə r	lɛðər
#
210	*librō	*librō	Proto-Germanic	59	l i b r oː	libroː
211	*librō	Leber	German	59	l eː b ə r	leːbər
212	*librō	liver	English	59	l ɪ v ə r	lɪvər
213	*librō	lever	Dutch	59	l eː v ə r	leːvər
#
614	*libēnan	*libēnan	Proto-Germanic	170	l i b eː n	libeːnan
615	*libēnan	leben	German	170	l eː b ə n	leːbən
616	*libēnan	live	English	170	l aɪ v	laɪv
617	*libēnan	leven	Dutch	170	l eː v ə	leːvə
#
1596	*likkōjanan	*likkōjanan	Proto-Germanic	438	l i kk oː j a n	likkoːjanan
1597	*likkōjanan	lecken	German	438	l ɛ k ə n	lɛkən
1598	*likkōjanan	lick	English	438	l ɪ k	lɪk
1599	*likkōjanan	likken	Dutch	438	l ɪ k ə	lɪkə
#
1421	*listiz	*listiz	Proto-Germanic	389	l i s t	listiz
1422	*listiz	List	German	389	l ɪ s t	lɪst
1423	*listiz	list	Dutch	389	l ɪ s t	lɪst
#
1593	*liznōjanan	*liznōjanan	Proto-Germanic	437	l i z n oː j a n	liznoːjanan
1594	*liznōjanan	lernen	German	437	l ɛ r n ə n	lɛrnən
1595	*liznōjanan	learn	English	437	l ɜː n	lɜːn
#
1638	*liθuz	*liθuz	Proto-Germanic	450	l i θ	liθuz
1639	*liθuz	Lid	German	450	l iː t	liːt
1640	*liθuz	lid	English	450	l ɪ d	lɪd
1641	*liθuz	lid	Dutch	450	l ɪ t	lɪt
#
680	*luban	*luban	Proto-Germanic	187	l u b	luban
681	*luban	Lob	German	187	l oː p	loːp
682	*luban	lof	Dutch	187	l ɔ f	lɔf
#
1563	*luftuz	*luftuz	Proto-Germanic	429	l u f t	luftuz
1564	*luftuz	Luft	German	429	l ʊ f t	lʊft
1565	*luftuz	lucht	Dutch	429	l ʉ x t	lʉxt
#
857	*lukan	*lukan	Proto-Germanic	236	l u k	lukan
858	*lukan	Loch	German	236	l ɔ x	lɔx
859	*lukan	lock	English	236	l ɔ k	lɔk
#
1147	*lukkaz	*lukkaz	Proto-Germanic	315	l u kk	lukkaz
1148	*lukkaz	Locke	German	315	l ɔ k ə	lɔkə
1149	*lukkaz	lock	English	315	l ɔ k	lɔk
1150	*lukkaz	lok	Dutch	315	l ɔ k	lɔk
#
889	*lungwan	*lungwan	Proto-Germanic	245	l u n g w	lungwan
890	*lungwan	Lunge	German	245	l ʊ ŋ ə	lʊŋə
891	*lungwan	lung	English	245	l ʌ ŋ	lʌŋ
892	*lungwan	long	Dutch	245	l ɔ ŋ	lɔŋ
#
1326	*lustuz	*lustuz	Proto-Germanic	364	l u s t	lustuz
1327	*lustuz	Lust	German	364	l ʊ s t	lʊst
1328	*lustuz	lust	English	364	l ʌ s t	lʌst
1329	*lustuz	lust	Dutch	364	l ʉ s t	lʉst
#
1635	*luxaz	*luxaz	Proto-Germanic	449	l u x	luxaz
1636	*luxaz	Luchs	German	449	l ʊ k s	lʊks
1637	*luxaz	los	Dutch	449	l ɔ s	lɔs
#
919	*lētanan	*lētanan	Proto-Germanic	253	l eː t a n	leːtanan
920	*lētanan	lassen	German	253	l a s ə n	lasən
921	*lētanan	let	English	253	l ɛ t	lɛt
922	*lētanan	laten	Dutch	253	l aː t ə	laːtə
#
836	*līban	*līban	Proto-Germanic	230	l iː b	liːban
837	*līban	Leib	German	230	l ai p	laip
838	*līban	life	English	230	l aɪ f	laɪf
839	*līban	lijf	Dutch	230	l ɛɪ f	lɛɪf
#
515	*līkan	*līkan	Proto-Germanic	141	l iː k	liːkan
516	*līkan	Leiche	German	141	l ai x ə	laixə
517	*līkan	lijk	Dutch	141	l ɛɪ k	lɛɪk
#
119	*līman	*līman	Proto-Germanic	34	l iː m	liːman
120	*līman	Leim	German	34	l ai m	laim
121	*līman	lime	English	34	l aɪ m	laɪm
122	*līman	lijm	Dutch	34	l ɛɪ m	lɛɪm
#
942	*līnan	*līnan	Proto-Germanic	259	l iː n	liːnan
943	*līnan	Leine	German	259	l ai n ə	lainə
944	*līnan	line	English	259	l aɪ n	laɪn
945	*līnan	lijn	Dutch	259	l ɛɪ n	lɛɪn
#
1435	*līstōn	*līstōn	Proto-Germanic	393	l iː s t oː n	liːstoːn
1436	*līstōn	Leiste	German	393	l ai s t ə	laistə
1437	*līstōn	list	English	393	l ɪ s t	lɪst
1438	*līstōn	lijst	Dutch	393	l ɛɪ s t	lɛɪst
#
1788	*līθanan	*līθanan	Proto-Germanic	490	l iː θ a n	liːθanan
1789	*līθanan	leiden	German	490	l ai d ə n	laidən
1790	*līθanan	lijden	Dutch	490	l ɛɪ d ə	lɛɪdə
#
1823	*lūsz	*lūsz	Proto-Germanic	500	l uː s z	luːsz
1824	*lūsz	Laus	German	500	l au s	laus
1825	*lūsz	louse	English	500	l aʊ s	laʊs
1826	*lūsz	luis	Dutch	500	l œy s	lœys
#
913	*magaθiz	*magaθiz	Proto-Germanic	251	m a g a θ	magaθiz
914	*magaθiz	Magd	German	251	m aː k t	maːkt
915	*magaθiz	maagd	Dutch	251	m aː x t	maːxt
#
72	*mainjanan	*mainjanan	Proto-Germanic	21	m ai n j a n	mainjanan
73	*mainjanan	meinen	German	21	m ai n ə n	mainən
74	*mainjanan	mean	English	21	m iː n	miːn
75	*mainjanan	menen	Dutch	21	m eː n ə	meːnə
#
35	*maisōn	*maisōn	Proto-Germanic	10	m ai s oː n	maisoːn
36	*maisōn	Meise	German	10	m ai z ə	maizə
37	*maisōn	mees	Dutch	10	m eː s	meːs
#
1454	*makōjanan	*makōjanan	Proto-Germanic	398	m a k oː j a n	makoːjanan
1455	*makōjanan	machen	German	398	m a x ə n	maxən
1456	*makōjanan	make	English	398	m eɪ k	meɪk
1457	*makōjanan	maken	Dutch	398	m aː k ə	maːkə
#
281	*malanan	*malanan	Proto-Germanic	78	m a l a n	malanan
282	*malanan	mahlen	German	78	m aː l ə n	maːlən
283	*malanan	malen	Dutch	78	m aː l ə	maːlə
#
986	*maltaz	*maltaz	Proto-Germanic	271	m a l t	maltaz
987	*maltaz	Malz	German	271	m a l t͡s	malt͡s
988	*maltaz	malt	English	271	m ɔː l t	mɔːlt
989	*maltaz	mout	Dutch	271	m ɑu t	mɑut
#
41	*markō	*markō	Proto-Germanic	12	m a r k oː	markoː
42	*markō	Mark	German	12	m a r k	mark
43	*markō	march	English	12	m ɑː ʧ	mɑːʧ
44	*markō	mark	Dutch	12	m ɑ r k	mɑrk
#
1925	*marīn	*marīn	Proto-Germanic	529	m a r iː n	mariːn
1926	*marīn	Mann	German	529	m a n	man
1927	*marīn	man	English	529	m æ n	mæn
1928	*marīn	man	Dutch	529	m ɑ n	mɑn
#
127	*marōn	*marōn	Proto-Germanic	36	m a r oː n	maroːn
128	*marōn	Mahr	German	36	m aː r	maːr
129	*marōn	nightmare	English	36	n aɪ t m ɛə r	naɪtmɛər
130	*marōn	nachtmerrie	Dutch	36	n ɑ x t m ɛ r iː	nɑxtmɛriː
#
1709	*mastaz	*mastaz	Proto-Germanic	469	m a s t	mastaz
1710	*mastaz	Mast	German	469	m a s t	mast
1711	*mastaz	mast	English	469	m ɑː s t	mɑːst
1712	*mastaz	mast	Dutch	469	m ɑ s t	mɑst
#
1573	*maxtiz	*maxtiz	Proto-Germanic	432	m a x t	maxtiz
1574	*maxtiz	Macht	German	432	m a x t	maxt
1575	*maxtiz	might	English	432	m aɪ t	maɪt
1576	*maxtiz	macht	Dutch	432	m ɑ x t	mɑxt
#
376	*medjaz	*medjaz	Proto-Germanic	104	m e d j	medjaz
377	*medjaz	Mitte	German	104	m ɪ t ə	mɪtə
378	*medjaz	midden	Dutch	104	m ɪ d ə	mɪdə
#
642	*meldōn	*meldōn	Proto-Germanic	177	m e l d oː n	meldoːn
643	*meldōn	Melde	German	177	m ɛ l d ə	mɛldə
644	*meldōn	dial	English	177	d aɪə l	daɪəl
645	*meldōn	melde	Dutch	177	m ɛ l d ə	mɛldə
#
665	*melukz	*melukz	Proto-Germanic	183	m e l u k z	melukz
666	*melukz	Milch	German	183	m ɪ l x	mɪlx
667	*melukz	milk	English	183	m ɪ l k	mɪlk
668	*melukz	melk	Dutch	183	m ɛ l k	mɛlk
#
1222	*metanan	*metanan	Proto-Germanic	336	m e t a n	metanan
1223	*metanan	messen	German	336	m ɛ s ə n	mɛsən
1224	*metanan	meten	Dutch	336	m eː t ə	meːtə
#
1774	*mixstilaz	*mixstilaz	Proto-Germanic	486	m i x s t i l	mixstilaz
1775	*mixstilaz	Mistel	German	486	m ɪ s t ə l	mɪstəl
1776	*mixstilaz	mistel	Dutch	486	m ɪ s t ə l	mɪstəl
#
1906	*mixstuz	*mixstuz	Proto-Germanic	523	m i x s t	mixstuz
1907	*mixstuz	Mist	German	523	m ɪ s t	mɪst
1908	*mixstuz	mest	Dutch	523	m ɛ s t	mɛst
#
646	*mizdō	*mizdō	Proto-Germanic	178	m i z d oː	mizdoː
647	*mizdō	Miete	German	178	m iː t ə	miːtə
648	*mizdō	meed	English	178	m iː d	miːd
#
236	*mēlan	*mēlan	Proto-Germanic	66	m eː l	meːlan
237	*mēlan	Mal	German	66	m aː l	maːl
238	*mēlan	meal	English	66	m iː l	miːl
239	*mēlan	maal	Dutch	66	m aː l	maːl
#
757	*mēnōθz	*mēnōθz	Proto-Germanic	208	m eː n oː θ z	meːnoːθz
758	*mēnōθz	Monat	German	208	m oː n aː t	moːnaːt
759	*mēnōθz	month	English	208	m ʌ n θ	mʌnθ
760	*mēnōθz	maand	Dutch	208	m aː n t	maːnt
#
716	*mōdaz	*mōdaz	Proto-Germanic	197	m oː d	moːdaz
717	*mōdaz	Mut	German	197	m uː t	muːt
718	*mōdaz	mood	English	197	m uː d	muːd
719	*mōdaz	moed	Dutch	197	m uː t	muːt
#
1617	*mōdēr	*mōdēr	Proto-Germanic	444	m oː d eː r	moːdeːr
1618	*mōdēr	Mutter	German	444	m ʊ t ə r	mʊtər
1619	*mōdēr	mother	English	444	m ʌ ð ə r	mʌðər
1620	*mōdēr	moeder	Dutch	444	m uː d ə r	muːdər
#
171	*mōsan	*mōsan	Proto-Germanic	49	m oː s	moːsan
172	*mōsan	Mus	German	49	m uː s	muːs
173	*mōsan	moes	Dutch	49	m uː s	muːs
#
1064	*mūlōn	*mūlōn	Proto-Germanic	292	m uː l oː n	muːloːn
1065	*mūlōn	Maul	German	292	m au l	maul
1066	*mūlōn	muil	Dutch	292	m œy l	mœyl
#
428	*nablōn	*nablōn	Proto-Germanic	118	n a b l oː n	nabloːn
429	*nablōn	Nabel	German	118	n aː b ə l	naːbəl
430	*nablōn	navel	English	118	n eɪ v ḷ	neɪvḷ
431	*nablōn	navel	Dutch	118	n aː v ə l	naːvəl
#
626	*nabō	*nabō	Proto-Germanic	173	n a b oː	naboː
627	*nabō	Nabe	German	173	n aː b ə	naːbə
628	*nabō	nave	English	173	n eɪ v	neɪv
629	*nabō	naaf	Dutch	173	n aː f	naːf
#
1577	*naglaz	*naglaz	Proto-Germanic	433	n a g l	naglaz
1578	*naglaz	Nagel	German	433	n aː ɡ ə l	naːɡəl
1579	*naglaz	nail	English	433	n eɪ l	neɪl
1580	*naglaz	nagel	Dutch	433	n aː ɣ ə l	naːɣəl
#
79	*namōn	*namōn	Proto-Germanic	23	n a m oː n	namoːn
80	*namōn	Name	German	23	n aː m ə	naːmə
81	*namōn	name	English	23	n eɪ m	neɪm
82	*namōn	naam	Dutch	23	n aː m	naːm
#
1731	*nasō	*nasō	Proto-Germanic	475	n a s oː	nasoː
1732	*nasō	Nase	German	475	n aː z ə	naːzə
1733	*nasō	nose	English	475	n əʊ z	nəʊz
1734	*nasō	neus	Dutch	475	n øː s	nøːs
#
571	*natilōn	*natilōn	Proto-Germanic	157	n a t i l oː n	natiloːn
572	*natilōn	Nessel	German	157	n ɛ s ə l	nɛsəl
573	*natilōn	nettle	English	157	n ɛ t ḷ	nɛtḷ
#
465	*natjan	*natjan	Proto-Germanic	128	n a t j	natjan
466	*natjan	Netz	German	128	n ɛ t͡s	nɛt͡s
467	*natjan	net	English	128	n ɛ t	nɛt
468	*natjan	net	Dutch	128	n ɛ t	nɛt
#
480	*naudiz	*naudiz	Proto-Germanic	132	n au d	naudiz
481	*naudiz	Not	German	132	n oː t	noːt
482	*naudiz	need	English	132	n iː d	niːd
483	*naudiz	nood	Dutch	132	n oː t	noːt
#
1538	*naxtz	*naxtz	Proto-Germanic	422	n a x t z	naxtz
1539	*naxtz	Nacht	German	422	n a x t	naxt
1540	*naxtz	night	English	422	n aɪ t	naɪt
1541	*naxtz	nacht	Dutch	422	n ɑ x t	nɑxt
#
1122	*nebulō	*nebulō	Proto-Germanic	308	n e b u l oː	nebuloː
1123	*nebulō	Nebel	German	308	n eː b ə l	neːbəl
1124	*nebulō	nevel	Dutch	308	n eː v ə l	neːvəl
#
1016	*nefōd	*nefōd	Proto-Germanic	279	n e f oː d	nefoːd
