# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	COGID
369	*PT	bone	*kʔoʔa	kʔ õ ʔ ã	kʔ õ ʔ ã	32
#
781	BAS	break	bohe	b o h e	b o h e	71
782	DES	break	bohe	b o h e	b o !h e	71
783	KOR	break	hũhe	h ũ h e	h !ũ h e	71
784	KUB	break	pope	p o p e	!p o !p e	71
785	MAI	break	hoa	h o a	!h o !- !a	71
786	SEK	break	hoʔa	h o ʔ a	!h o !ʔ !a	71
787	TUK	break	bope	b o p e	b o p e	71
788	TUY	break	paa	p a a	!p a !- !a	71
789	WAN	break	poʔa	p o ʔ a	!p !o !ʔ !a	71
790	*PT	break	*pʔope	pʔ o p e	pʔ o p e	71
#
1364	BAS	breast	~ohe	õ h ẽ	õ h !ẽ	126
1365	DES	breast	~api	ã p ĩ	ã p !ĩ	126
1366	KAR	breast	~upe	ũ p ẽ	ũ p !ẽ	126
1367	KOR	breast	ohe	o h e	o h e	126
1368	KUB	breast	ope	o p e	o p e	126
1369	KUE	breast	huheri	h u h e r i	h u h e r !i	126
1370	MAI	breast	ohe	o h e	o h e	126
1371	SEK	breast	ohe	o h e	o h e	126
1372	SIO	breast	ohe	o h e	o h e	126
1373	TAN	breast	ũʔpe	ũ ʔp e	ũ ʔp e	126
1374	TUK	breast	~ope	õ p ẽ	õ p !ẽ	126
1375	TUY	breast	~opea	õ p ẽ ã	õ p ẽ ã	126
1376	WAN	breast	~pedo	p ẽ n õ	p ẽ n õ	126
1377	*PT	breast	*upe	u p e	- u p e ( - - )	126
#
560	BAS	buriti palm	~ree	r̃ e e	r̃ e - e	50
561	DES	buriti palm	~deʔe	n ẽ ʔ ẽ	n ẽ ʔ ẽ	50
562	KAR	buriti palm	~dee	n e e	n e - e	50
563	KOR	buriti palm	neʔe	n e ʔ e	n e ʔ e	50
564	KUB	buriti palm	~dei	n ẽ ĩ	n ẽ - ĩ	50
565	SEK	buriti palm	~deʔe	n ẽ ʔ ẽ	n ẽ ʔ ẽ	50
566	SIO	buriti palm	neʔe	n e ʔ e	n e ʔ e	50
567	TUK	buriti palm	~deʔe	n ẽ ʔ ẽ	n ẽ ʔ ẽ	50
568	WAN	buriti palm	~daʔa	n ã ʔ ã	n ã ʔ ã	50
569	*PT	buriti palm	*neʔe	n e ʔ e	n e ʔ e	50
#
438	KOR	capybara	kuẽso	k u ẽ s o	k u ẽ s o	39
439	KUE	capybara	ketu	k e t u	k e t u	39
440	SEK	capybara	kueso	k u e s o	k u e s o	39
441	SIO	capybara	kʔueso	kʔ u e s o	kʔ u e s o	39
442	TAN	capybara	keehu	k e e h u	k e e h u	39
443	*PT	capybara	*kwetju	k w e t j u	kw - e tj u	39
#
190	BAS	cará(Dioscorea alata)	~jahi	ɲ ã h ĩ	!ɲ ã h ĩ	18
191	DES	cará(Dioscorea alata)	~japi	ɲ ã p ĩ	!ɲ ã p !ĩ	18
192	KAR	cará(Dioscorea alata)	~japi	ɲ ã p ĩ	!ɲ ã p !ĩ	18
193	KOR	cará(Dioscorea alata)	jahi	j a h i	j a h i	18
194	KUB	cará(Dioscorea alata)	~japi	ɲ ã p ĩ	!ɲ ã p !ĩ	18
195	KUE	cará(Dioscorea alata)	jahiri	j a h i r i	j a h i !r !i	18
196	SEK	cará(Dioscorea alata)	jahi	j a h i	j a h i	18
197	TAN	cará(Dioscorea alata)	~jaʔpi	ɲ ã ʔp ĩ	!ɲ ã ʔp !ĩ	18
198	TUK	cará(Dioscorea alata)	~japi	ɲ ã p ĩ	!ɲ ã p !ĩ	18
199	WAN	cará(Dioscorea alata)	~japi	ɲ ã p ĩ	!ɲ ã p !ĩ	18
200	*PT	cará(Dioscorea alata)	*japi	j a p i	j a p i ( - - )	18
#
158	DES	centipede	~aʔgi	ã ʔŋ ĩ	ã ʔŋ ĩ	15
159	KUB	centipede	ãi	a w i m e k ɨ	a w i m !e !k !ɨ	15
160	TUK	centipede	~aʔki	ã ʔk ĩ	ã ʔk ĩ	15
162	WAN	centipede	~jaʔki	ɲ ã ʔk ĩ	ɲ ã ʔk ĩ	15
163	*PT	centipede	*jãkʔi	j ã kʔ i	j ã kʔ i ( - - - - )	15
#
570	BAS	charcoal (1)	~riti	r̃ ĩ t ĩ	r̃ ĩ t ĩ	51
571	DES	charcoal (1)	~diti	n ĩ t ĩ	n ĩ t !ĩ	51
572	KAR	charcoal (1)	~diti	n ĩ t ĩ	n ĩ t !ĩ	51
573	TAN	charcoal (1)	~diti	n ĩ t ĩ	n ĩ t !ĩ	51
574	TUK	charcoal (1)	~diti	n ĩ t ĩ	n ĩ t !ĩ	51
575	TUY	charcoal (1)	~diti	n ĩ t ĩ	n ĩ t ĩ	51
576	WAN	charcoal (1)	~diti	n ĩ t ĩ	n ĩ t !ĩ	51
577	*PT	charcoal (1)	*nitti	n i t t i	n i tt i	51
#
554	KOR	charcoal (2)	neo	n e o	n e o	49
555	KUB	charcoal (2)	~deo	n ẽ õ	n ẽ õ	49
556	MAI	charcoal (2)	neo	n e o	n e o	49
557	SEK	charcoal (2)	~deo	n ẽ õ	n ẽ õ	49
558	SIO	charcoal (2)	neo	n e o	n e o	49
559	*PT	charcoal (2)	*neo	n e o	n e o	49
#
1399	BAS	cheek	waju	w a j u	w a j !u	129
1400	DES	cheek	waʔju	w a ʔj u	w a ʔj u	129
1401	KAR	cheek	waso	w a s o	w a s o	129
1402	KOR	cheek	wajo	w a j o	w a j o	129
1403	KUB	cheek	wɨo	w ɨ o	w ɨ - o	129
1404	MAI	cheek	bajo	b a j o	b !a j o	129
1405	SEK	cheek	wajo	w a j o	w a j o	129
1406	SIO	cheek	wajo	w a j o	w a j o	129
1407	TUK	cheek	waʔsu	w a ʔs u	w a ʔs !u	129
1408	TUY	cheek	wasopu	w a s o p u	w a s o p !u	129
1409	WAN	cheek	waʔsu	w a ʔs u	w a ʔs u	129
1410	*PT	cheek	*wajo	w a j o	w a j o ( - - )	129
#
1120	KOR	chew	jaki	j a k i	j a k i	104
1121	KUB	chew	~hahɨ	h ã h ɨ̃	h ã h ɨ̃	104
1122	MAI	chew	naki	n a k i	n a k i	104
1123	SEK	chew	sʔãki	sʔ ã k i	sʔ ã k i	104
1124	TUK	chew	jaʔge	j a ʔg e	j a ʔg e	104
1125	TUY	chew	yage	y a g e	y a g e	104
1126	WAN	chew	jaʔka	j a ʔk a	j a ʔk a	104
1127	*PT	chew	*tjʔãkʔɨ	tjʔ ã k ʔ ɨ	tjʔ ã kʔ ɨ	104
#
728	BAS	chili	bia	b i a	b i a	66
729	DES	chili	bia	b i a	b i a	66
730	KAR	chili	bia	b i a	b i a	66
731	KOR	chili	pia	p i a	p i a	66
732	KUB	chili	bia	b i a	!b i a	66
733	KUE	chili	bia	b i a	b i a	66
734	MAI	chili	bia	b i a	b i a	66
735	PIR	chili	bia	b i a	b i a	66
736	SEK	chili	pia	p i a	p i a	66
737	SIO	chili	pʔia	pʔ i a	pʔ i a	66
738	TAN	chili	bia	b i a	b i a	66
739	TUK	chili	bia	b i a	b i a	66
740	TUY	chili	bia	b i a	b i a	66
741	WAN	chili	bia	b i a	!b i a	66
742	*PT	chili	*pʔia	pʔ i a	pʔ i a	66
#
1303	BAS	cold	ɨca	ɨ c a	ɨ c !a	120
1304	DES	cold	jɨsa	j ɨ s a	j ɨ s a	120
1305	KOR	cold	sɨsɨ	s ɨ s ɨ	s ɨ s !ɨ	120
1306	KUB	cold	hɨhɨ	h ɨ h ɨ	h ɨ h !ɨ	120
1307	KUE	cold	jɨsɨa	j ɨ s ɨ a	j ɨ s ɨ a	120
1308	MAI	cold	sɨsɨ	s ɨ s ɨ	s ɨ s !ɨ	120
1309	SEK	cold	sɨsɨ	s ɨ s ɨ	s ɨ s ɨ	120
1310	SIO	cold	sɨsɨ	s ɨ s ɨ	s ɨ s !ɨ	120
1311	TAN	cold	hiʔhia	h i ʔh i a	h i ʔh i a	120
1312	TUK	cold	jɨsɨa	j ɨ s ɨ a	j ɨ s ɨ a	120
1313	TUY	cold	jɨsɨa	j ɨ s ɨ a	j ɨ s ɨ a	120
1314	WAN	cold	jɨsɨ	j ɨ s ɨ	j ɨ s !ɨ	120
1315	YUP	cold	tsesɨ	ts e s ɨ	ts e s ɨ	120
1316	*PT	cold	*tjɨsi	tj ɨ s i	tj ɨ s i ( - )	120
#
1030	BAS	cut	rute	r u t e	!r u t e	96
1031	KOR	cut	ruʔthe	r u ʔth e	r u ʔth e	96
1033	SIO	cut	tɨ̃te	t ɨ̃ t e	!t ɨ̃ t e	96
1034	TUK	cut	dɨte	d ɨ t e	!d ɨ t e	96
1035	WAN	cut	dɨte	d ɨ t e	!d ɨ t e	96
1036	*PT	cut	*tʔɨtte	tʔ ɨ t t e	tʔ ɨ tt e	96
#
696	BAS	dance	baca	b a c a	b a !c a	62
697	DES	dance	baja	b a j a	b a j a	62
698	KAR	dance	basa	b a s a	b a !s a	62
699	KUB	dance	baja	b a j a	!b a j a	62
700	MAI	dance	tɨte	t ɨ t e	t ɨ !t !e	62
701	TAN	dance	baja	b a j a	b a j a	62
702	TUK	dance	basa	b a s a	b a !s a	62
703	TUY	dance	basa	b a s a	b a !s a	62
704	WAN	dance	basa	b a s a	b a !s a	62
705	*PT	dance	*pʔaja	pʔ a j a	pʔ a j a	62
#
164	BAS	deer	~jaba	ɲ ã m ã	ɲ ã m ã	16
165	DES	deer	~jaba	ɲ ã m ã	ɲ ã m ã	16
166	KAR	deer	~jaba	ɲ ã m ã	ɲ ã m ã	16
167	KOR	deer	jãma	j ã m a	j ã m a	16
168	KUB	deer	~jaba	ɲ ã m ã	ɲ ã m ã	16
169	KUE	deer	jãma	j ã m a	j ã m a	16
170	SEK	deer	jãma	j ã m a	j ã m a	16
171	SIO	deer	jãma	j ã m a	j ã m a	16
172	TAN	deer	~jaba	ɲ ã m ã	ɲ ã m ã	16
173	TUK	deer	~jaba	ɲ ã m ã	ɲ ã m ã	16
174	TUY	deer	~jaba	ɲ ã m ã	ɲ ã m ã	16
175	WAN	deer	~jaba	ɲ ã m ã	ɲ ã m ã	16
176	*PT	deer	*jama	j a m a	j a m a	16
#
1246	BAS	distant	joa	j o a	j o a	115
1247	DES	distant	joa	j o a	j o a	115
1248	KAR	distant	joa	j o a	j o a	115
1249	KUB	distant	hoa	h o a	h o a	115
1250	KUE	distant	joe	j o e	j o e	115
1251	MAI	distant	doa	j ã m a	d o a	115
1252	SEK	distant	soʔo	s o ʔ o	s o ʔ o	115
1253	SIO	distant	sʔoa	sʔ o a	sʔ o a	115
1254	TAN	distant	joe	j o e	j o e	115
1255	TUK	distant	joa	j o a	j o a	115
1256	TUY	distant	joa	j o a	j o a	115
1257	WAN	distant	joa	j o a	j o a	115
1258	*PT	distant	*tjʔoa	t jʔ o a	tjʔ o - a	115
#
1059	BAS	dove	cioro	c i o r o	c i o r !o	99
1060	KOR	dove	siʔwi	s i ʔw i	s i ʔw i	99
1061	KUB	dove	hude	h u d e	h !u d !e	99
1062	MAI	dove	sɨni	s ɨ n i	!s ɨ n i	99
1063	SEK	dove	sɨra	s ɨ r a	s ɨ r a	99
1064	SIO	dove	t∫iʔwi	t∫ i ʔw i	t∫ i ʔw i	99
1065	TUK	dove	siri	s i r i	s i r !i	99
1066	WAN	dove	siripi	s i r i p i	s i r !i !p !i	99
1067	*PT	dove	*t∫ɨ-	t∫ ɨ	t∫ ɨ ( - - - - )	99
#
723	KOR	duck	pete	p e t e	p e t e	65
724	KUB	duck	bede	b e d e	b e d e	65
725	SEK	duck	pete	p e t e	p e t e	65
726	SIO	duck	pʔete	pʔ e t e	pʔ e t e	65
727	*PT	duck	*pʔete	pʔ e t e	pʔ e t e	65
#
264	BAS	ear	~gabo	ŋ ã m õ	ŋ ã m õ	25
265	DES	ear	~gabi	ŋ ã m ĩ	ŋ ã !m !ĩ	25
266	KAR	ear	~abo	ã m õ	ã m õ	25
267	KOR	ear	kãho	k ã h o	k ã h o	25
268	KUB	ear	~kamu	k ã m ũ	k ã m ũ	25
269	KUE	ear	~kiau	kĩ ã ũ	kĩ ã - !ũ	25
270	MAI	ear	gãho	g ã h o	g ã h o	25
271	SEK	ear	kãho	k ã h o	k ã h o	25
272	SIO	ear	kʔãho	kʔ ã h o	kʔ ã h o	25
273	TAN	ear	~abu	ã m ũ	ã !m ũ	25
274	TUK	ear	~oʔbe	õ ʔm ẽ	õ !ʔm !ẽ	25
275	TUY	ear	~kabo	k ã m õ	k ã m !õ	25
276	WAN	ear	~kaʔbo	k ã ʔm õ	k ã !ʔm !õ	25
277	*PT	ear	*kʔãpʔo	kʔ ã p ʔ o	kʔ ã pʔ o	25
#
1163	BAS	egg	ria	r i a	r i a	108
1164	KAR	egg	ria	r i a	r i a	108
1165	KOR	egg	jia	j i a	j i a	108
1166	KUB	egg	hĩdɨ	h ĩ d ɨ	h !ĩ !d !ɨ	108
1167	MAI	egg	jia	j i a	j i a	108
1168	SEK	egg	sʔia	sʔ i a	sʔ i a	108
1169	SIO	egg	sʔia	sʔ i a	sʔ i a -	108
1170	TAN	egg	ria	r i a	r i a	108
1171	TUK	egg	die	d i e	d i !e	108
1172	TUY	egg	diye	d i y e	d i y e	108
1173	WAN	egg	die	d i e	d i !e	108
1174	*PT	egg	*tjʔia	t jʔ i a	tjʔ i ( - a )	108
#
750	BAS	elder	bɨkɨ	b ɨ k ɨ	b ɨ k ɨ	68
751	DES	elder	bɨgɨ	b ɨ g ɨ	b ɨ g ɨ	68
752	KAR	elder	bɨkɨ	b ɨ k ɨ	b ɨ k ɨ	68
753	KUB	elder	bɨkɨ	b ɨ k ɨ	!b ɨ k ɨ	68
754	KUE	elder	bɨikɨ	b ɨ i k ɨ	!b ɨ i k ɨ	68
755	TUK	elder	bɨkɨ	b ɨ k ɨ	b ɨ k ɨ	68
756	TUY	elder	bɨkɨ	b ɨ k ɨ	b ɨ k ɨ	68
757	WAN	elder	bɨkɨ	b ɨ k ɨ	!b ɨ k ɨ	68
758	*PT	elder	*pʔɨkɨ	pʔ ɨ k ɨ	pʔ ɨ - k ɨ	68
#
395	BAS	elevated structure (shelves roof etc.)	kaca	k a c a	k a !c a	35
396	DES	elevated structure (shelves roof etc.)	kaja	k a j a	k a j a	35
397	KAR	elevated structure (shelves roof etc.)	kaja	k a j a	k a !j a	35
398	KOR	elevated structure (shelves roof etc.)	khaja	kh a j a	kh a j !a	35
399	KUB	elevated structure (shelves roof etc.)	kaja	k a j a	k a j a	35
400	TUK	elevated structure (shelves roof etc.)	kasa	k a s a	k a !s a	35
401	WAN	elevated structure (shelves roof etc.)	kasa	k a s a	k a !s a	35
402	*PT	elevated structure (shelves roof etc.)	*kaja	k a j a	k a j a	35
#
879	BAS	end	hedi	h e d i	h e d i	80
880	DES	end	peʔdea	p e ʔd e a	p e ʔd e a	80
881	KUE	end	peti	p e t i	!p e t i	80
882	TUK	end	peʔti	p e ʔt i	p e ʔt i	80
883	WAN	end	piʔti	p i ʔt i	!p i ʔt i	80
884	*PT	end	*petʔi	p e tʔ i	p e tʔ i -	80
#
292	BAS	excrement	gɨda	g ɨ d a	g ɨ d a	27
293	DES	excrement	gɨda	g ɨ d a	g ɨ d a	27
294	KAR	excrement	gɨta	g ɨ t a	!g ɨ t a	27
295	KOR	excrement	kɨta	k ɨ t a	k ɨ t a	27
296	KUB	excrement	kɨda	k ɨ d a	k ɨ d a	27
297	KUE	excrement	ɨta	ɨ t a	ɨ t a	27
298	MAI	excrement	ɨ̃ta	ɨ̃ t a	ɨ̃ t a	27
299	PIR	excrement	kɨʔta	k ɨ ʔt a	k ɨ ʔt a	27
300	SEK	excrement	ɨ̃ta	ɨ̃ t a	ɨ̃ t a	27
301	SIO	excrement	kʔɨta	kʔ ɨ t a	kʔ ɨ t a	27
302	TAN	excrement	ita	i t a	i t a	27
303	TUK	excrement	ɨʔta	ɨ ʔt a	ɨ ʔt a	27
304	TUY	excrement	~kɨda	k ɨ̃ n ã	!k ɨ̃ n ã	27
305	WAN	excrement	~ta	t ã	t ã	27
306	*PT	excrement	*kʔɨtʔa	kʔ ɨ tʔ a	kʔ ɨ tʔ a	27
#
1175	BAS	face	ria	r i a	r i a	109
1176	DES	face	dia	d i a	d i a	109
1177	KAR	face	ria	r i a	r i a	109
1178	KOR	face	jia	j i a	j i a	109
1179	KUB	face	hiwa	h i w a	h i !w a	109
1180	MAI	face	jia	j i a	j i a	109
1181	SEK	face	sʔia	sʔ i a	sʔ i a	109
1182	TUK	face	dia	d i a	d i a	109
1183	TUY	face	dia_poa	d i a _ p o a	d i a _ !p !o !a	109
1184	*PT	face	*tjʔia	t jʔ i a	tjʔ i - a ( - - - - )	109
#
822	BAS	father	hakɨ	h a k ɨ	h a k ɨ	75
823	DES	father	pagɨ	p a g ɨ	p a g ɨ	75
824	KAR	father	pakɨ	p a k ɨ	p a k ɨ	75
825	KOR	father	hakhɨ	h a kh ɨ	h a kh ɨ	75
826	KUB	father	pakɨ	p a k ɨ	p a k ɨ	75
827	KUE	father	hakɨ	h a k ɨ	h a k ɨ	75
828	MAI	father	hakɨ	h a k ɨ	h a k ɨ	75
829	SEK	father	hakɨ	h a k ɨ	h a k ɨ	75
830	SIO	father	hakɨ	h a k ɨ	h a k ɨ	75
831	TAN	father	paki	p a k i	p a k i	75
832	TUK	father	pakɨ	p a k ɨ	p a k ɨ	75
833	TUY	father	pakɨ	p a k ɨ	p a k ɨ	75
834	WAN	father	phɨkɨ	ph ɨ k ɨ	!ph ɨ k ɨ	75
835	*PT	father	*pa-kɨ	p a k ɨ	p a k ɨ	75
#
1	BAS	feminine	go	g o	g o	1
2	DES	feminine	go	g o	g o	1
3	KAR	feminine	o	o	o	1
4	KOR	feminine	o	o	o	1
5	KUB	feminine	ko	k o	k o	1
6	MAI	feminine	o	o	o	1
7	PIR	feminine	ko	k o	k o	1
8	SEK	feminine	o	o	o	1
9	SIO	feminine	go	g o	!g o	1
10	TUK	feminine	go	g o	!g o	1
