# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	COGID
#
20	BAS	3rd.person.masculine	~bi	m ĩ	!m ĩ	3
21	DES	3rd.person.masculine	~bi	m ĩ	!m ĩ	3
22	KUB	3rd.person.masculine	bi	b i	!b i	3
23	SEK	3rd.person.masculine	pi	p i	p i	3
24	TUK	3rd.person.masculine	~bi	m ĩ	!m ĩ	3
25	*PT	3rd.person.masculine	*-pi	p i	p i	3
#
26	BAS	Case: non-nominatvie	re	r e	r e	4
27	DES	Case: non-nominatvie	de	d e	d e	4
28	KAR	Case: non-nominatvie	re	r e	r e	4
29	KOR	Case: non-nominatvie	re	r e	r e	4
30	KUB	Case: non-nominatvie	de	d e	d e	4
31	MAI	Case: non-nominatvie	de	d e	d e	4
32	PIR	Case: non-nominatvie	re	r e	r e	4
33	SEK	Case: non-nominatvie	re	r e	r e	4
34	SIO	Case: non-nominatvie	re	r e	r e	4
35	TAN	Case: non-nominatvie	re	r e	r e	4
36	TUK	Case: non-nominatvie	re	r e	r e	4
37	WAN	Case: non-nominatvie	re	r e	r e	4
38	*PT	Case: non-nominatvie	*-tʔe	tʔ e	tʔ e	4
#
250	BAS	I	jɨɨ	j ɨ ɨ	j ɨ - ɨ	24
251	DES	I	jɨʔɨ	j ɨ ʔ ɨ	j ɨ ʔ ɨ	24
252	KAR	I	jɨɨ	j ɨ ɨ	j ɨ - ɨ	24
253	KOR	I	jɨʔɨ	j ɨ ʔ ɨ	j !ɨ ʔ ɨ	24
254	KUB	I	jɨ	j ɨ	j ɨ - *-*	24
255	KUE	I	jehɨ	j e h ɨ	j e h ɨ	24
256	MAI	I	ji	j i	j !i - *-*	24
257	SEK	I	jɨʔɨ	j ɨ ʔ ɨ	j ɨ ʔ ɨ	24
258	SIO	I	jɨɨ	j ɨ ɨ	j !ɨ - ɨ	24
259	TAN	I	jiʔi	j i ʔ i	j i ʔ i	24
260	TUK	I	jɨʔɨ	j ɨ ʔ ɨ	j ɨ ʔ ɨ	24
261	TUY	I	jɨɨ	j ɨ ɨ	j ɨ - ɨ	24
262	WAN	I	jɨʔɨ	j ɨ ʔ ɨ	j ɨ ʔ ɨ	24
263	*PT	I	*jɨʔɨ	j ɨ ʔ ɨ	j ɨ ʔ ɨ	24
#
1521	BAS	agouti	buu	b u u	b u u	140
1522	DES	agouti	bui	b u i	b u i	140
1523	KAR	agouti	buu	b u u	b u u	140
1524	KOR	agouti	βɨɨ	β ɨ ɨ	β ɨ ɨ	140
1525	KUB	agouti	buɨ	b u ɨ	b u ɨ	140
1526	SEK	agouti	wɨ	w ɨ	w ɨ -	140
1527	SIO	agouti	wɨ	w ɨ	w ɨ -	140
1528	TAN	agouti	bui	b u i	b u i	140
1529	TUK	agouti	buu	b u u	b u u	140
1530	WAN	agouti	buu	b u u	b u u	140
1531	*PT	agouti	*wuɨ	w u ɨ	w u ɨ	140
#
489	BAS	ant sp.	~beka	m ẽ k ã	m ẽ k ã	44
490	DES	ant sp.	~bega	m ẽ ŋ ã	m ẽ ŋ ã	44
491	KAR	ant sp.	~beka	m ẽ k ã	m ẽ k ã	44
492	KOR	ant sp.	mekha	m e kh a	m e kh a	44
493	KUB	ant sp.	~bea	m ẽ ã	m ẽ - ã	44
494	KUE	ant sp.	mekia	m e ki a	m e ki a	44
495	MAI	ant sp.	meka	m e k a	m e k a	44
496	SIO	ant sp.	mea	m e a	m e - a	44
497	TAN	ant sp.	~beka	m ẽ k ã	m ẽ k ã	44
498	TUK	ant sp.	~beka	m ẽ k ã	m ẽ k ã	44
499	WAN	ant sp.	~bat∫ɨ	m ã t∫ ɨ̃	m ã t∫ ɨ̃	44
500	*PT	ant sp.	*meka	m e k a	m e k a	44
#
804	BAS	aracu fish	bodekaʔ	b o d e k a	b o d e k a	73
805	DES	aracu fish	bodeka	b o d e k a	b o d e k a	73
806	KAR	aracu fish	boteka	b o t e k a	b o t e k !a	73
807	KUB	aracu fish	bodika	b o d i k a	!b o d i k a	73
808	KUE	aracu fish	polekia	p o l e ki a	p o l e ki a	73
809	TAN	aracu fish	botaka	b o t a k a	b o t a k a	73
810	TUK	aracu fish	boʔtea	b o ʔt e a	b o ʔt e - a	73
811	WAN	aracu fish	boʔtea	b o ʔt e a	!b o ʔt e - a	73
812	*PT	aracu fish	*pʔotʔika	pʔ o tʔ i k a	pʔ o tʔ i k a	73
#
845	BAS	armadillo	~habo	h ã m õ	h ã m õ	77
846	DES	armadillo	~pabo	p ã m õ	p ã m õ	77
847	KAR	armadillo	~pabo	p ã m õ	p ã m õ	77
848	KOR	armadillo	hamu	h a m u	h a m u	77
849	KUB	armadillo	~pabu	p ã m ũ	p ã m ũ	77
850	KUE	armadillo	hamu	h a m u	h a m u	77
851	PIR	armadillo	~pabo	p ã m õ	p ã m õ	77
852	SEK	armadillo	hãmo	h ã m o	h ã m o	77
853	SIO	armadillo	hãmu	h ã m u	h ã m u	77
854	TAN	armadillo	~pabu	p ã m ũ	p ã m ũ	77
855	TUK	armadillo	~pabo	p ã m õ	p ã m õ	77
856	WAN	armadillo	~pabo	p ã m õ	p ã m õ	77
857	*PT	armadillo	*pãmu	p ã m u	p ã m u	77
#
971	DES	back	~sugu	s ũ ŋ ũ	s ũ ŋ ũ	90
972	KAR	back	~hokɨ	h õ k ɨ̃	h õ k ɨ̃	90
973	KOR	back	sõkhɨ	s õ kh ɨ	s õ kh ɨ	90
974	TUK	back	~suku	s ũ k ũ	s ũ k ũ	90
975	TUY	back	suku	s u k u	s u k u	90
976	WAN	back	~suku	s ũ k ũ	s ũ k ũ	90
977	*PT	back	*sõkɨ	s õ k ɨ	s õ k ɨ	90
#
611	BAS	bat	oco	o c o	o c o	55
612	DES	bat	ojo	o j o	o j !o	55
613	KAR	bat	oso	o s o	o s o	55
614	KOR	bat	ojo	o j o	o j o	55
615	KUB	bat	ojo	o j o	o j o	55
616	KUE	bat	hoijo	h o i j o	h o i j o	55
617	MAI	bat	ojo	o j o	o j o	55
618	PIR	bat	oso	o s o	o s o	55
619	SEK	bat	ojo	o j o	o j o	55
620	SIO	bat	ojo	o j o	o j o	55
621	TAN	bat	ojo	o j o	o j o	55
622	TUK	bat	oso	o s o	o s !o	55
623	TUY	bat	oso	o s o	o s o	55
624	*PT	bat	*ojo	o j o	- o - j o	55
#
836	BAS	big	hai	h a i	h a !- !i	76
837	KAR	big	pai	p a i	p a - !i	76
838	MAI	big	hai	h a i	h a - i	76
839	PIR	big	pahi	p a h i	p a h i	76
840	SEK	big	hai	h a i	h a - i	76
841	SIO	big	hai	h a i	h a - i	76
842	TUK	big	pahi	p a h i	p a h !i	76
843	TUY	big	pai	p a i	p a - !i	76
844	*PT	big	*pahi	p a h i	p a h i	76
#
1151	BAS	black	~jii	ɲ ĩ ĩ	ɲ ĩ ĩ	107
1152	DES	black	~jii	ɲ ĩ ĩ	ɲ ĩ ĩ	107
1153	KAR	black	~jii	ɲ ĩ ĩ	ɲ ĩ ĩ	107
1154	KOR	black	ji	j i	j i	107
1155	KUB	black	~jebi	ɲ ẽ m ĩ	ɲ ẽ m ĩ	107
1156	MAI	black	nea	n e a	n e a	107
1157	SIO	black	sʔi	sʔ i	sʔ i	107
1158	TAN	black	~deʔi	n ẽ ʔ ĩ	n ẽ ʔ !ĩ	107
1159	TUK	black	~jii	ɲ ĩ ĩ	ɲ ĩ ĩ	107
1160	TUY	black	~jii	ɲ ĩ ĩ	ɲ ĩ ĩ	107
1161	WAN	black	~jii	ɲ ĩ ĩ	ɲ ĩ ĩ	107
1162	*PT	black	*tjʔĩ	tjʔ ĩ	tjʔ ĩ - -	107
#
1482	BAS	black_ink	wei	w e i	w e - !i	136
1484	KUB	black_ink	wei	w e i	w e - !i	136
1485	*PT	black_ink	*weʔe	w e ʔ e	w e ʔ e	136
#
1199	BAS	blood	rii	r i i	r i i	111
1200	DES	blood	dii	d i i	d i i	111
1201	KAR	blood	rii	r i i	r i i	111
1202	KOR	blood	jie	j i e	j i e	111
1203	KUB	blood	hiwe	h i w e	h i w e	111
1204	KUE	blood	lieri	l i e r i	l i e r i	111
1205	SEK	blood	sʔie	sʔ i e	sʔ i e	111
1206	SIO	blood	sʔie	sʔ i e	sʔ i e	111
1207	TAN	blood	ribe	r i b e	r i b e	111
1208	TUK	blood	dii	d i i	d i i	111
1209	TUY	blood	dii	d i i	d i i	111
1210	WAN	blood	di	d i	d i -	111
1211	*PT	blood	*tjʔie	t jʔ i e	tjʔ i - e ( - - )	111
#
919	BAS	blow	huti	h u t i	h u t !i	85
920	DES	blow	pudi	p u d i	p u d !i	85
921	KAR	blow	puti	p u t i	p u t !i	85
922	KOR	blow	hu+i	h u + i	h u !i	85
923	KUB	blow	pu	p u	p u	85
924	MAI	blow	hú+i	h ú + i	h ú i	85
925	SEK	blow	hu	h u	h u	85
926	SIO	blow	hu+i	h u + i	h u i	85
927	TUK	blow	puti	p u t i	p u t !i	85
928	WAN	blow	puti	p u t i	p u t !i	85
929	YUP	blow	puri	p u r i	p u r i	85
930	*PT	blow	*pu-	p u	p u ( - - )	85
#
359	BAS	bone	~goa	ŋ õ ã	!ŋ !õ - ã	32
360	DES	bone	~goa	ŋ õ ã	ŋ õ - ã	32
361	KAR	bone	~oʔa	õ ʔ ã	õ ʔ ã	32
362	KUB	bone	~kua	k ũ ã	k ũ - ã	32
363	KUE	bone	koa	k o a	k o - a	32
364	SIO	bone	kʔõʔa	kʔ õ ʔ a	kʔ õ ʔ a	32
365	TAN	bone	~uʔa	ũ ʔ ã	ũ ʔ ã	32
366	TUK	bone	~oʔa	õ ʔ ã	õ ʔ ã	32
367	TUY	bone	~koa	k õ ã	!k õ - ã	32
368	WAN	bone	~khoʔa	kh õ ʔ ã	!kh õ ʔ ã	32
