# EDICTOR
@modified: 2015-08-26 9:38
#
ID	TOKENS	COGID	CONCEPT	IPA	ALIGNMENT	DOCULECT
390	k ã r̃ ĩ	34	sleep	~kari	k ã r̃ ĩ	TAN
391	k ã n ĩ	34	sleep	~kadi	k ã n ĩ	TUK
392	k ã n ĩ	34	sleep	~kadi	k ã n ĩ	TUY
393	kh ã n ĩ	34	sleep	~khadi	kh ã n ĩ	WAN
394	k ã	34	sleep	*kã-	k ã - -	*PT
#
395	k a c a	35	elevated structure (shelves roof etc.)	kaca	k a c a	BAS
396	k a j a	35	elevated structure (shelves roof etc.)	kaja	k a j a	DES
397	k a j a	35	elevated structure (shelves roof etc.)	kaja	k a j a	KAR
398	kh a j a	35	elevated structure (shelves roof etc.)	khaja	kh a j a	KOR
399	k a j a	35	elevated structure (shelves roof etc.)	kaja	k a j a	KUB
400	k a s a	35	elevated structure (shelves roof etc.)	kasa	k a s a	TUK
401	k a s a	35	elevated structure (shelves roof etc.)	kasa	k a s a	WAN
402	k a j a	35	elevated structure (shelves roof etc.)	*kaja	k a j a	*PT
#
403	k ĩ ĩ	36	manioc	kĩ	k ĩ ĩ	BAS
404	k ĩ ĩ	36	manioc	kĩĩ	k ĩ ĩ	DES
405	k i i	36	manioc	kii	k i i	KAR
406	kh ɨ i	36	manioc	khɨi	kh ɨ i	KOR
407	k ɨ i	36	manioc	kɨi	k ɨ i	KUB
408	k ɨ	36	manioc	kɨ	k ɨ -	KUE
409	k ɨ i	36	manioc	kɨi	k ɨ i	MAI
410	k ɨ i	36	manioc	kɨi	k ɨ i	SIO
411	k i	36	manioc	ki	k - i	TAN
412	k i i	36	manioc	kii	k i i	TUK
413	kh ɨ ɨ	36	manioc	khɨɨ	kh ɨ ɨ	WAN
414	k ɨ i	36	manioc	*kɨi	k ɨ i	*PT
#
415	k õ n ẽ	37	woodpecker	~kode	k õ n ẽ	BAS
416	k õ n ẽ	37	woodpecker	~kode	k õ n ẽ	DES
417	k õ n ẽ	37	woodpecker	~kode	k õ n ẽ	KAR
418	kh õ n e	37	woodpecker	khõne	kh õ n e	KOR
419	k õ n ẽ	37	woodpecker	~kode	k õ n ẽ	KUB
420	k o n e	37	woodpecker	kone	k o n e	MAI
421	k õ n e	37	woodpecker	kõne	k õ n e	SEK
422	k o n e	37	woodpecker	kone	k o n e	SIO
423	k õ n ẽ	37	woodpecker	~kode	k õ n ẽ	TUK
424	kh õ n ẽ	37	woodpecker	~khode	kh õ n ẽ	WAN
425	k o n e	37	woodpecker	*kone	k o n e	*PT
#
426	k ũ n ĩ	38	to bite	~kuni	k ũ n ĩ	BAS
427	k ũ n ĩ	38	to bite	~kudi	k ũ n ĩ	DES
428	kh ũ ʔ i	38	to bite	khũʔi	kh ũ ʔ i	KOR
429	k ũ	38	to bite	~ku	k ũ - -	KUB
430	k ũ i	38	to bite	kũi	k ũ - i	MAI
431	k õ k ɨ	38	to bite	kõkɨ	k õ k ɨ	SEK
432	k ũ ʔ i	38	to bite	kũʔi	k ũ ʔ i	SIO
433	k u ʔk u	38	to bite	kuʔku	k u ʔk u	TAN
434	k ũ ʔn ĩ	38	to bite	~kuʔdi	k ũ ʔn ĩ	TUK
435	b a k a	142	to bite	baka	b a k a - -	TUY
436	k ũ r̃ ĩ	38	to bite	~kuri	k ũ r̃ ĩ	YUP
437	k ũ	38	to bite	*kũ	k ũ - -	*PT
#
438	k u ẽ s o	39	capybara	kuẽso	k u ẽ s o	KOR
439	k e t u	39	capybara	ketu	k - e t u	KUE
440	k u e s o	39	capybara	kueso	k u e s o	SEK
441	kʔ u e s o	39	capybara	kʔueso	kʔ u e s o	SIO
442	k e e h u	39	capybara	keehu	k e e h u	TAN
443	k w e t j u	39	capybara	*kwetju	kw - e tj u	*PT
#
444	k o d e	40	wait	kode	k o d e	BAS
445	k o d e	40	wait	kode	k o d e	DES
446	k o d e	40	wait	kode	k o d e	KUB
447	h o t e	40	wait	hote	h o t e	KUE
448	ɨ̃ t e	40	wait	ɨ̃te	- ɨ̃ t e	MAI
449	u t e	40	wait	ute	- u t e	SEK
450	k o ʔt e	40	wait	koʔte	k o ʔt e	TUK
451	k o ʔt a	40	wait	koʔta	k o ʔt a	WAN
452	k o r e	40	wait	kore	k o r e	YUP
453	kw ɨ tʔ e	40	wait	*kwɨtʔe	kw ɨ tʔ e	*PT
#
454	m ã h ã	41	macaw	~baha	( - - - ) m ã h ã	BAS
455	m ã h ã	41	macaw	~baha	( - - - ) m ã h ã	DES
456	m a a	41	macaw	~baa	( - - - ) m a - a	KAR
457	m a a	41	macaw	maa	( - - - ) m a - a	KOR
458	m ã	41	macaw	~ma	( - - - ) m ã - -	KUB
459	m a	41	macaw	ma	( - - - ) m a - -	MAI
460	t o a m a	41	macaw	toa+ma	( t o a ) m a - -	SEK
461	m a	41	macaw	ma	( - - - ) m a - -	SIO
462	m ã h ã	41	macaw	~baha	( - - - ) m ã h ã	TUK
463	m ã h ã	41	macaw	~baha	( - - - ) m ã h ã	WAN
464	m a h a	41	macaw	*maha	( - - - ) m a h a	*PT
#
465	m ã c ĩ	42	know	~baci	m ã c ĩ	BAS
466	m ã s ĩ	42	know	~basi	m ã s ĩ	DES
467	m a s i	42	know	masi	m a s i	KOR
468	m a h i	42	know	mahi	m a h i	KUB
469	m a s i	42	know	masi	m a s i	KUE
470	m a ʔs i	42	know	maʔsi	m a ʔs i	SIO
471	m ã s ĩ	42	know	~basi	m ã s ĩ	TUK
472	m ã s ĩ	42	know	~basi	m ã s ĩ	TUY
473	m ã s ĩ	42	know	~basi	m ã s ĩ	WAN
474	m a s i	42	know	*masi	m a s i	*PT
#
475	m a a	43	path	~baa	m a - a	BAS
476	m ã ʔ ã	43	path	~baʔa	m ã ʔ ã	DES
477	m ã ʔ ã	43	path	~baʔa	m ã ʔ ã	KAR
478	m a ʔ a	43	path	maʔa	m a ʔ a	KOR
479	m ã	43	path	~ba	m ã - -	KUB
480	m a a	43	path	maa	m a - a	KUE
481	m a	43	path	ma	m a - -	MAI
482	m a ʔ a	43	path	maʔa	m a ʔ a	SEK
483	m a ʔ a	43	path	maʔa	m a ʔ a	SIO
484	m ã ʔ ã	43	path	~baʔa	m ã ʔ ã	TAN
485	m ã	43	path	~ba	m ã - -	TUK
486	m a a	43	path	~baa	m a - a	TUY
487	m ã ʔ ã	43	path	~baʔa	m ã ʔ ã	WAN
488	m a ʔ a	43	path	*maʔa	m a ʔ a	*PT
#
489	m ẽ k ã	44	ant sp.	~beka	m ẽ k ã	BAS
490	m ẽ ŋ ã	44	ant sp.	~bega	m ẽ ŋ ã	DES
491	m ẽ k ã	44	ant sp.	~beka	m ẽ k ã	KAR
492	m e kh a	44	ant sp.	mekha	m e kh a	KOR
493	m ẽ ã	44	ant sp.	~bea	m ẽ - ã	KUB
494	m e ki a	44	ant sp.	mekia	m e ki a	KUE
495	m e k a	44	ant sp.	meka	m e k a	MAI
496	m e a	44	ant sp.	mea	m e - a	SIO
497	m ẽ k ã	44	ant sp.	~beka	m ẽ k ã	TAN
498	m ẽ k ã	44	ant sp.	~beka	m ẽ k ã	TUK
499	m ã t∫ ɨ̃	44	ant sp.	~bat∫ɨ	m ã t∫ ɨ̃	WAN
500	m e k a	44	ant sp.	*meka	m e k a	*PT
#
501	m ĩ m ĩ	45	hummingbird	~bibi	m ĩ m ĩ	BAS
502	m ĩ m ĩ	45	hummingbird	~bibi	m ĩ m ĩ	DES
503	m ĩ m ĩ	45	hummingbird	~bibi	m ĩ m ĩ	KAR
504	m i m i	45	hummingbird	mimi	m i m i	KOR
505	m ĩ m ĩ	45	hummingbird	~bibi	m ĩ m ĩ	KUB
506	m i m i	45	hummingbird	mimi	m i m i	KUE
507	m i m i	45	hummingbird	mimi	m i m i	MAI
508	m i m i	45	hummingbird	mimi	m i m i	SEK
509	m i m i	45	hummingbird	mimi	m i m i	SIO
510	m ĩ m ĩ	45	hummingbird	~bibi	m ĩ m ĩ	TUK
511	w̃ ĩ ʔm ĩ	45	hummingbird	~wiʔbi	w̃ ĩ ʔm ĩ	WAN
512	m i m i	45	hummingbird	*mimi	m i m i	*PT
#
513	m ɨ̃ ã	46	you all	~bɨa	m ɨ̃ - ã ( - - - - - - )	BAS
514	m ɨ̃ ã	46	you all	~bɨa	m ɨ̃ - ã ( - - - - - - )	DES
515	m ɨ̃ s ã	46	you all	~bɨsa	m ɨ̃ s ã ( - - - - - - )	KAR
516	m ɨ s a n ɨ kh o n a	46	you all	mɨsanɨkhona	m ɨ s a ( n ɨ kh o n a )	KOR
517	m ɨ̃ h ã	46	you all	~bɨha	m ɨ̃ h ã ( - - - - - - )	KUB
518	m ɨ t a	46	you all	mɨta	m ɨ t a ( - - - - - - )	KUE
519	m ɨ s a	46	you all	mɨsa	m ɨ s a ( - - - - - - )	MAI
520	m ɨ s a r u	46	you all	mɨsaru	m ɨ s a ( - - r - - u )	SEK
521	m ɨ s a k w a	46	you all	mɨsakwa	m ɨ s a ( - - k - w a )	SIO
522	m ĩ h ã	46	you all	~biha	m ĩ h ã ( - - - - - - )	TAN
523	m ɨ̃ s ã	46	you all	~bɨsa	m ɨ̃ s ã ( - - - - - - )	TUK
524	m ɨ̃ ã	46	you all	~bɨa	m ɨ̃ - ã ( - - - - - - )	TUY
525	m ɨ̃ h ã	46	you all	~bɨha	m ɨ̃ h ã ( - - - - - - )	WAN
526	m ɨ tj a	46	you all	*mɨ-tja	m ɨ tj a ( - - - - - - )	*PT
#
527	m ɨ̃ ʔn õ	47	tobacco	~bɨʔdo	m ɨ̃ ʔn õ	BAS
528	m ũ n ũ	47	tobacco	~budu	m ũ n ũ	DES
529	m ɨ̃ n õ	47	tobacco	~bɨdo	m ɨ̃ n õ	KAR
530	m ɨ t o	47	tobacco	mɨto	m ɨ t o	KOR
531	m ɨ n o	47	tobacco	mɨno	m ɨ n o	KUE
532	m ɨ t o	47	tobacco	mɨto	m ɨ t o	MAI
533	m ɨ t o	47	tobacco	mɨto	m ɨ t o	SEK
534	m u t o	47	tobacco	muto	m u t o	SIO
535	m ĩ ʔr̃ õ	47	tobacco	~biʔro	m ĩ ʔr̃ õ	TAN
536	m ɨ̃ ʔn õ	47	tobacco	~bɨʔdo	m ɨ̃ ʔn õ	TUK
537	m ɨ̃ n õ	47	tobacco	~bɨdo	m ɨ̃ n õ	TUY
538	m ɨ̃ ʔt õ	47	tobacco	~bɨʔto	m ɨ̃ ʔt õ	WAN
539	m ɨ tʔ o	47	tobacco	*mɨtʔo	m ɨ tʔ o	*PT
#
540	m ɨ̃ t ẽ	48	mosquito	~bɨte	m ɨ̃ t ẽ	BAS
541	m ɨ̃ n ẽ	48	mosquito	~bɨde	m ɨ̃ n ẽ	DES
542	m ɨ̃ t ẽ	48	mosquito	~bɨte	m ɨ̃ t ẽ	KAR
543	m ɨ th e	48	mosquito	mɨthe	m ɨ th e	KOR
544	m ɨ̃ t ẽ	48	mosquito	~bɨte	m ɨ̃ t ẽ	KUB
545	m ɨ n e	48	mosquito	mɨne	m ɨ n e	KUE
546	m ɨ t e	48	mosquito	mɨte	m ɨ t e	MAI
547	m u ʔt e	48	mosquito	muʔte	m u ʔt e	SEK
548	m ɨ t e	48	mosquito	mɨte	m ɨ t e	SIO
549	m ĩ r̃ ĩ	48	mosquito	~biri	m ĩ r̃ ĩ	TAN
550	m ɨ̃ t ẽ	48	mosquito	~bɨte	m ɨ̃ t ẽ	TUK
551	m ɨ̃ t ẽ	48	mosquito	~bɨte	m ɨ̃ t ẽ	TUY
552	m ɨ̃ t ẽ	48	mosquito	~bɨte	m ɨ̃ t ẽ	WAN
553	m ɨ t e	48	mosquito	*mɨte	m ɨ t e	*PT
#
554	n e o	49	charcoal (2)	neo	n e o	KOR
555	n ẽ õ	49	charcoal (2)	~deo	n ẽ õ	KUB
556	n e o	49	charcoal (2)	neo	n e o	MAI
557	n ẽ õ	49	charcoal (2)	~deo	n ẽ õ	SEK
558	n e o	49	charcoal (2)	neo	n e o	SIO
559	n e o	49	charcoal (2)	*neo	n e o	*PT
#
560	r̃ e e	50	buriti palm	~ree	r̃ e - e	BAS
561	n ẽ ʔ ẽ	50	buriti palm	~deʔe	n ẽ ʔ ẽ	DES
562	n e e	50	buriti palm	~dee	n e - e	KAR
563	n e ʔ e	50	buriti palm	neʔe	n e ʔ e	KOR
564	n ẽ ĩ	50	buriti palm	~dei	n ẽ - ĩ	KUB
565	n ẽ ʔ ẽ	50	buriti palm	~deʔe	n ẽ ʔ ẽ	SEK
566	n e ʔ e	50	buriti palm	neʔe	n e ʔ e	SIO
567	n ẽ ʔ ẽ	50	buriti palm	~deʔe	n ẽ ʔ ẽ	TUK
568	n ã ʔ ã	50	buriti palm	~daʔa	n ã ʔ ã	WAN
569	n e ʔ e	50	buriti palm	*neʔe	n e ʔ e	*PT
#
570	r̃ ĩ t ĩ	51	charcoal (1)	~riti	r̃ ĩ t ĩ	BAS
571	n ĩ t ĩ	51	charcoal (1)	~diti	n ĩ t ĩ	DES
572	n ĩ t ĩ	51	charcoal (1)	~diti	n ĩ t ĩ	KAR
573	n ĩ t ĩ	51	charcoal (1)	~diti	n ĩ t ĩ	TAN
574	n ĩ t ĩ	51	charcoal (1)	~diti	n ĩ t ĩ	TUK
575	n ĩ t ĩ	51	charcoal (1)	~diti	n ĩ t ĩ	TUY
576	n ĩ t ĩ	51	charcoal (1)	~diti	n ĩ t ĩ	WAN
577	n i t t i	51	charcoal (1)	*nitti	n i tt i	*PT
#
578	r̃ ɨ̃ ŋ õ	52	stop	~rɨgo	r̃ ɨ̃ ŋ õ	BAS
579	n ũ ŋ ũ	52	stop	~dugu	n ũ ŋ ũ	DES
580	n ɨ̃ k ã	52	stop	~dɨka	n ɨ̃ k ã	KAR
581	n ɨ kh a	52	stop	nɨkha	n ɨ kh a	KOR
582	n ú	52	stop	~dú	n ú - -	KUB
583	n ɨ k a	52	stop	nɨka	n ɨ k a	MAI
584	d ɨ̃ k a	52	stop	dɨ̃ka	n ɨ̃ k a	SEK
585	n ɨ k a	52	stop	̃dɨka	n ɨ̃ k a	SIO
586	n ɨ̃ ʔk ã	52	stop	̃dɨʔka	n ɨ̃ ʔk ã	TUK
587	n ũ k ũ	52	stop	~duku	n ũ k ũ	TUY
588	n ɨ kʔ	52	stop	*nɨkʔ-	n ɨ kʔ -	*PT
#
589	n ũ n ĩ	53	penis	~dudi	n ũ - ( n ĩ )	KAR
590	n õ ẽ	53	penis	~doe	n õ ẽ ( - - )	KUB
591	n o n i	53	penis	noni	n o - ( n i )	KUE
592	n o a	53	penis	noa	n o a ( - - )	MAI
593	r ũ r i	53	penis	rũri	r ũ - ( r i )	TAN
594	n ũ n ĩ	53	penis	~dudi	n ũ - ( n ĩ )	TUK
595	s e j u a	143	penis	sejua	s e j u a	TUY
596	n ũ n ɨ̃	53	penis	~dudɨ	n ũ - ( n ɨ̃ )	WAN
597	n o	53	penis	*no-	n o - ( - - )	*PT
#
598	o t i	54	to cry	oti	o t i	BAS
599	o t i	54	to cry	oti	o t i	DES
600	o t i	54	to cry	oti	o t i	KAR
601	o i	54	to cry	oi	o - i	KOR
602	o	54	to cry	o	o - -	KUB
604	o i	54	to cry	oi	o - i	MAI
605	o i	54	to cry	oi	o - i	SEK
606	o i	54	to cry	oi	o - i	SIO
607	u t i	54	to cry	uti	u t i	TUY
608	t i	54	to cry	ti	- t i	WAN
609	o t i	54	to cry	oti	o t i	YUP
610	o	54	to cry	*o-	o - -	*PT
#
611	o c o	55	bat	oco	- o - c o	BAS
612	o j o	55	bat	ojo	- o - j o	DES
613	o s o	55	bat	oso	- o - s o	KAR
614	o j o	55	bat	ojo	- o - j o	KOR
615	o j o	55	bat	ojo	- o - j o	KUB
616	h o i j o	55	bat	hoijo	h o i j o	KUE
617	o j o	55	bat	ojo	- o - j o	MAI
618	o s o	55	bat	oso	- o - s o	PIR
619	o j o	55	bat	ojo	- o - j o	SEK
620	o j o	55	bat	ojo	- o - j o	SIO
621	o j o	55	bat	ojo	- o - j o	TAN
622	o s o	55	bat	oso	- o - s o	TUK
623	o s o	55	bat	oso	- o - s o	TUY
624	o j o	55	bat	*ojo	- o - j o	*PT
#
625	o k o	56	water	oko	- - o k o ( - - - - )	BAS
626	d e k o	56	water	deko	d e - k o ( - - - - )	DES
627	o k o	56	water	oko	- - o k o ( - - - - )	KAR
628	o kh o	56	water	okho	- - o kh o ( - - - - )	KOR
629	o k o	56	water	oko	- - o k o ( - - - - )	KUB
630	k o t a p u	56	water	kotapu	- - - k o ( t a p u )	KUE
631	o k o	56	water	oko	- - o k o ( - - - - )	MAI
632	o k o	56	water	oko	- - o k o ( - - - - )	SEK
633	o k o	56	water	oko	- - o k o ( - - - - )	SIO
634	o k o	56	water	oko	- - o k o ( - - - - )	TAN
635	o k o	56	water	oko	- - o k o ( - - - - )	TUK
636	o k o	56	water	oko	- - o k o ( - - - - )	TUY
637	k o	56	water	ko	- - - k o ( - - - - )	WAN
638	o k k o	56	water	*okko	- - o kk o ( - - - - )	*PT
#
639	o t e	57	plant	ote	- o t e -	BAS
640	o t e	57	plant	ote	- o t e -	DES
641	o t e	57	plant	ote	- o t e -	KAR
642	o th e	57	plant	othe	- o th e -	KOR
643	o t e	57	plant	ote	- o t e -	KUB
644	o t e	57	plant	ote	- o t e -	MAI
645	o t e	57	plant	ote	- o t e -	SEK
646	o t e	57	plant	ote	- o t e -	SIO
647	h o t o	57	plant	hoto	h o t o -	TAN
648	o t e	57	plant	ote	- o t e -	TUK
649	o t e	57	plant	ote	- o t e -	TUY
650	t o a	57	plant	toa	- - t o a	WAN
651	o t t e	57	plant	*otte	- o tt e -	*PT
#
652	b e k o	58	larva	beko	b e k o	BAS
653	b e k a	58	larva	beka	b e k a	DES
654	b e k o	58	larva	beko	b e k o	KAR
655	p e kh o	58	larva	pekho	p e kh o	KOR
656	b e k u	58	larva	beku	b e k u	MAI
657	p e k o	58	larva	peko	p e k o	SEK
658	pʔ e k o	58	larva	pʔeko	pʔ e k o	SIO
659	b e k o	58	larva	beko	b e k o	TUK
660	pʔ e k k o	58	larva	*pʔekko	pʔ e kk o	*PT
#
661	b ɨ h ɨ	59	spider	bɨhɨ	b ɨ h ɨ	BAS
662	b ɨ p ɨ	59	spider	bɨpɨ	b ɨ p ɨ	DES
663	b ɨ p ɨ	59	spider	bɨpɨ	b ɨ p ɨ	KAR
664	h ɨ̃ h ɨ̃	59	spider	~hɨhɨ	h ɨ̃ h ɨ̃	KOR
665	p ɨ̃ p ɨ̃	59	spider	~pɨpɨ	p ɨ̃ p ɨ̃	KUB
666	h e h e	59	spider	hehe	h e h e	KUE
667	h ɨ̃ h ɨ̃	59	spider	~hɨhɨ	h ɨ̃ h ɨ̃	MAI
668	h ɨ̃ h ɨ̃	59	spider	~hɨhɨ	h ɨ̃ h ɨ̃	SIO
669	b ɨ p ɨ	59	spider	bɨpɨ	b ɨ p ɨ	TUK
670	b ɨ p ɨ	59	spider	bɨpɨ	b ɨ p ɨ	TUY
671	w ɨ p ɨ	59	spider	wɨpɨ	w ɨ p ɨ	WAN
672	b ɨ b ɨ	59	spider	bɨbɨ	b ɨ b ɨ	YUP
673	pʔ ɨ p ɨ	59	spider	*pʔɨpɨ	pʔ ɨ p ɨ	*PT
#
674	b u t u	60	termite	butu	b u t u	BAS
675	b u d u	60	termite	budu	b u d u	DES
676	b u t u	60	termite	butu	b u t u	KAR
677	p o r u	60	termite	poru	p o r u	KUE
678	b u t u	60	termite	butu	b u t u	TAN
679	b u t u	60	termite	butu	b u t u	TUK
680	b u t u	60	termite	butu	b u t u	WAN
681	pʔ u t u	60	termite	*pʔutu	pʔ u t u	*PT
#
682	m ã c ã	61	people	~baca	m ã c ã ( - - )	BAS
683	m ã s ã	61	people	~basa	m ã s ã ( - - )	KAR
684	p ã + i	61	people	pã+i	p ã - - ( i - )	KOR
685	m ã h ã	61	people	~baha	m ã h ã ( - - )	KUB
686	m a t a r ɨ	61	people	matarɨ	m a t a ( r ɨ )	KUE
687	m ã + ĩ	61	people	~ba+i	m ã - - ( ĩ - )	MAI
688	p ã + i	61	people	pã+i	p ã - - ( i - )	SEK
689	pʔ ã i	61	people	pʔã+i	pʔ ã - - ( - - )	SIO
690	m ã h ã	61	people	~baha	m ã h ã ( - - )	TAN
691	m ã s ã	61	people	~basa	m ã s ã ( - - )	TUK
692	b a s o	61	people	baso	b a s o ( - - )	TUY
693	m ã h ã	61	people	~baha	m ã h ã ( - - )	WAN
694	m ã ts ã	61	people	~batsa	m ã ts ã ( - - )	YUP
695	pʔ ã tj ã	61	people	*pʔã-tjã	pʔ ã tj ã ( - - )	*PT
#
696	b a c a	62	dance	baca	b a c a	BAS
697	b a j a	62	dance	baja	b a j a	DES
698	b a s a	62	dance	basa	b a s a	KAR
699	b a j a	62	dance	baja	b a j a	KUB
700	t ɨ t e	62	dance	tɨte	t ɨ t e	MAI
701	b a j a	62	dance	baja	b a j a	TAN
702	b a s a	62	dance	basa	b a s a	TUK
703	b a s a	62	dance	basa	b a s a	TUY
704	b a s a	62	dance	basa	b a s a	WAN
705	pʔ a j a	62	dance	*pʔaja	pʔ a j a	*PT
#
706	b a h i	63	fishing net	bahi	b a h i	BAS
707	b a p i	63	fishing net	bapi	b a p i	KAR
708	p á p i	63	fishing net	pápi	p á p i	KUB
709	b a p i	63	fishing net	bapi	b a p i	TUY
710	pʔ a p i	63	fishing net	*pʔapi	pʔ a p i	*PT
#
711	m ẽ n ẽ	64	inga (fruit sp.)	~bede	m ẽ n ẽ	BAS
712	m ẽ h ẽ	64	inga (fruit sp.)	~behe	m ẽ h ẽ	DES
713	m ẽ n ẽ	64	inga (fruit sp.)	~bede	m ẽ n ẽ	KAR
714	p e n e	64	inga (fruit sp.)	pene	p e n e	KOR
715	m ẽ n ẽ	64	inga (fruit sp.)	~bede	m ẽ n ẽ	KUB
716	m e ʔn e	64	inga (fruit sp.)	meʔne	m e ʔn e	KUE
717	m e n e	64	inga (fruit sp.)	mene	m e n e	MAI
718	p e n ẽ	64	inga (fruit sp.)	pedẽ	p e n ẽ	SEK
719	pʔ e n e	64	inga (fruit sp.)	pʔene	pʔ e n e	SIO
720	m ẽ n ẽ	64	inga (fruit sp.)	~bede	m ẽ n ẽ	TUK
721	m ẽ n ẽ	64	inga (fruit sp.)	~bede	m ẽ n ẽ	WAN
722	pʔ e n e	64	inga (fruit sp.)	*pʔene	pʔ e n e	*PT
#
723	p e t e	65	duck	pete	p e t e	KOR
724	b e d e	65	duck	bede	b e d e	KUB
725	p e t e	65	duck	pete	p e t e	SEK
726	pʔ e t e	65	duck	pʔete	pʔ e t e	SIO
727	pʔ e t e	65	duck	*pʔete	pʔ e t e	*PT
#
728	b i a	66	chili	bia	b i a	BAS
729	b i a	66	chili	bia	b i a	DES
730	b i a	66	chili	bia	b i a	KAR
731	p i a	66	chili	pia	p i a	KOR
732	b i a	66	chili	bia	b i a	KUB
733	b i a	66	chili	bia	b i a	KUE
734	b i a	66	chili	bia	b i a	MAI
735	b i a	66	chili	bia	b i a	PIR
736	p i a	66	chili	pia	p i a	SEK
737	pʔ i a	66	chili	pʔia	pʔ i a	SIO
738	b i a	66	chili	bia	b i a	TAN
739	b i a	66	chili	bia	b i a	TUK
740	b i a	66	chili	bia	b i a	TUY
741	b i a	66	chili	bia	b i a	WAN
742	pʔ i a	66	chili	*pʔia	pʔ i a	*PT
#
743	b u h e	67	squeeze	buhe	b u h e	BAS
744	b i p i	67	squeeze	bipi	b i p i	DES
745	p i p o	67	squeeze	pipo	p i p o	KUB
746	b i p e	67	squeeze	bipe	b i p e	TUK
747	w̃ ã y ĩ ã	144	squeeze	~wayia	w̃ ã y ĩ ã	TUY
748	w i p e	67	squeeze	wipe	w i p e	WAN
749	pʔ i p o	67	squeeze	*pʔipo	pʔ i p o	*PT
#
750	b ɨ k ɨ	68	elder	bɨkɨ	b ɨ - k ɨ	BAS
751	b ɨ g ɨ	68	elder	bɨgɨ	b ɨ - g ɨ	DES
752	b ɨ k ɨ	68	elder	bɨkɨ	b ɨ - k ɨ	KAR
753	b ɨ k ɨ	68	elder	bɨkɨ	b ɨ - k ɨ	KUB
754	b ɨ i k ɨ	68	elder	bɨikɨ	b ɨ i k ɨ	KUE
755	b ɨ k ɨ	68	elder	bɨkɨ	b ɨ - k ɨ	TUK
756	b ɨ k ɨ	68	elder	bɨkɨ	b ɨ - k ɨ	TUY
757	b ɨ k ɨ	68	elder	bɨkɨ	b ɨ - k ɨ	WAN
758	pʔ ɨ k ɨ	68	elder	*pʔɨkɨ	pʔ ɨ - k ɨ	*PT
#
759	b o t i	69	white	boti	b o t i	BAS
760	b o d e	69	white	bode	b o d e	DES
761	b o t i	69	white	boti	b o t i	KAR
762	p o	69	white	po	p o - -	KOR
763	b o	69	white	bo	b o - -	KUB
764	p o	69	white	po	p o - -	KUE
765	b o	69	white	bo	b o - -	MAI
766	p o	69	white	po	p o - -	SEK
767	pʔ o	69	white	pʔo	pʔ o - -	SIO
768	b o i	69	white	boi	b o - i	TAN
769	b u t i	69	white	buti	b u t i	TUK
770	b u t i	69	white	buti	b u t i	TUY
771	b o ʔt a	69	white	boʔta	b o ʔt a	WAN
772	pʔ o	69	white	*pʔo-	pʔ o - -	*PT
#
773	m o m o	70	toad sp.	momo	m o m o	BAS
774	m o m a	70	toad sp.	moma	m o m a	DES
775	h o h o	70	toad sp.	hoho	h o h o	KOR
776	p o p o	70	toad sp.	popo	p o p o	KUB
777	h o h o	70	toad sp.	hoho	h o h o	SEK
778	m o ʔm o	70	toad sp.	moʔmo	m o ʔm o	TUK
779	w a ʔm u	70	toad sp.	waʔmu	w a ʔm u	WAN
780	pʔ o p a	70	toad sp.	*pʔopa	pʔ o p a	*PT
#
781	b o h e	71	break	bohe	b o h e	BAS
782	b o h e	71	break	bohe	b o h e	DES
783	h ũ h e	71	break	hũhe	h ũ h e	KOR
784	p o p e	71	break	pope	p o p e	KUB
785	h o a	71	break	hoa	h o - a	MAI
786	h o ʔ a	71	break	hoʔa	h o ʔ a	SEK
787	b o p e	71	break	bope	b o p e	TUK
788	p a a	71	break	paa	p a - a	TUY
789	p o ʔ a	71	break	poʔa	p o ʔ a	WAN
790	pʔ o p e	71	break	*pʔope	pʔ o p e	*PT
#
791	m ũ c ã	72	urucum (achiote)	~buca	m ũ c ã	BAS
792	m ũ s ã	72	urucum (achiote)	~busa	m ũ s ã	DES
793	m ũ s ã	72	urucum (achiote)	~busa	m ũ s ã	KAR
794	p ũ s a	72	urucum (achiote)	pũsa	p ũ s a	KOR
795	m ũ h ã	72	urucum (achiote)	~buha	m ũ h ã	KUB
796	m u hi a	72	urucum (achiote)	muhia	m u hi a	KUE
797	b o s a	72	urucum (achiote)	bosa	b o s a	MAI
798	pʔ õ s a	72	urucum (achiote)	pʔõsa	pʔ õ s a	SEK
799	pʔ õ s a	72	urucum (achiote)	pʔõsa	pʔ õ s a	SIO
800	m ũ h ã	72	urucum (achiote)	~buha	m ũ h ã	TAN
801	m õ s ã	72	urucum (achiote)	~bosa	m õ s ã	TUK
802	m ã s ĩ _ s õ a	148	urucum (achiote)	~basi_sõa	- - - - ( m ã s ĩ _ s õ a )	WAN
803	pʔ õ s a	72	urucum (achiote)	*pʔõsa	pʔ õ s a	*PT
#
804	b o d e k a	73	aracu fish	bodekaʔ	b o d e k a	BAS
805	b o d e k a	73	aracu fish	bodeka	b o d e k a	DES
806	b o t e k a	73	aracu fish	boteka	b o t e k a	KAR
807	b o d i k a	73	aracu fish	bodika	b o d i k a	KUB
808	p o l e ki a	73	aracu fish	polekia	p o l e ki a	KUE
809	b o t a k a	73	aracu fish	botaka	b o t a k a	TAN
810	b o ʔt e a	73	aracu fish	boʔtea	b o ʔt e - a	TUK
