# EDICTOR
@modified: 2015-08-26 9:38
#
ID	TOKENS	COGID	CONCEPT	IPA	ALIGNMENT	DOCULECT
60	ã ɲ ã	6	snake	~aja	- ã ɲ ã	TAN
61	ã ɲ ã	6	snake	~aja	- ã ɲ ã	TUK
62	ã ɲ ã	6	snake	~aja	- ã ɲ ã	TUY
63	ã ɲ ã	6	snake	~aja	- ã ɲ ã	WAN
64	ã j a	6	snake	*ãja	- ã j a	*PT
#
65	a c i	7	hot	aci	- a - c i - - -	BAS
66	a s i	7	hot	asi	- a - s i - - -	DES
67	a s i	7	hot	asi	- a - s i - - -	KAR
68	a s u	7	hot	asu	- a - s u - - -	KOR
69	h a t ɨ	7	hot	hatɨ	h a - t ɨ - - -	KUE
70	a t∫ u	7	hot	at∫u	- a - t∫ u - - -	MAI
71	h a ʔs u	7	hot	haʔsu	h a - ʔs u - - -	SIO
72	a s i	7	hot	asi	- a - s i - - -	TUK
73	a s i	7	hot	asi	- a - s i - - -	TUY
74	s i	7	hot	si	- - - s i - - -	WAN
75	a h ts i a m a	7	hot	ahtsiama	- a h ts i a m a	YUP
76	a tj ɨ	7	hot	*atjɨ	- a - tj ɨ - - -	*PT
#
77	ĩ ŋ ẽ	8	nose	~ige	- ĩ ŋ - ẽ ( - - )	BAS
78	ĩ ʔŋ ĩ	8	nose	~iʔgi	- ĩ ʔŋ - ĩ ( - - )	DES
79	ɨ̃ k ẽ	8	nose	~ɨke	- ɨ̃ k - ẽ ( - - )	KAR
80	ɨ̃ kh e	8	nose	ɨ̃khe	- ɨ̃ kh - e ( - - )	KOR
81	ũ e k a	8	nose	ũeka	- ũ - - e ( k a )	KUB
82	k o m e	8	nose	kome	k o m - e ( - - )	KUE
83	ũ k u e	8	nose	ũkue	- ũ k u e ( - - )	MAI
84	õ kw e	8	nose	õkwe	- õ k w e ( - - )	SEK
85	ũ k u e	8	nose	ũkue	- ũ k u e ( - - )	SIO
86	õ m ẽ	8	nose	~obe	- õ m - ẽ ( - - )	TAN
87	ẽ ʔk ẽ	8	nose	~eʔke	- ẽ ʔk - ẽ ( - - )	TUK
88	ẽ k ẽ ã	8	nose	~ekea	- ẽ k - ẽ ( ã - )	TUY
89	k ẽ	8	nose	~ke	- - k - ẽ ( - - )	WAN
90	ɨ g ɨ	8	nose	ɨgɨ	- ɨ g - ɨ ( - - )	YUP
91	ɨ̃ kwʔ e	8	nose	*ɨ̃kwʔe	- ɨ̃ kwʔ - e ( - - )	*PT
#
92	ɨ̃ m ɨ̃	9	man	~ɨbɨ	ɨ̃ m ɨ̃	BAS
93	ɨ̃ m ɨ̃	9	man	~ɨbɨ	ɨ̃ m ɨ̃	DES
94	m ɨ̃	9	man	~bɨ	- m ɨ̃	KAR
95	ɨ m ɨ	9	man	ɨmɨ	ɨ m ɨ	KOR
96	ɨ̃ m ɨ̃	9	man	~ɨbɨ	ɨ̃ m ɨ̃	KUB
97	ɨ m ɨ	9	man	ɨmɨ	ɨ m ɨ	MAI
98	ɨ̃ m ɨ̃	9	man	ɨ̃mɨ̃	ɨ̃ m ɨ̃	SEK
99	ɨ m ɨ	9	man	ɨmɨ	ɨ m ɨ	SIO
100	ɨ̃ m ɨ̃	9	man	~ɨbɨ	ɨ̃ m ɨ̃	TAN
101	ɨ̃ m ɨ̃	9	man	~ɨbɨ	ɨ̃ m ɨ̃	TUK
102	ɨ̃ m ɨ̃	9	man	~ɨbɨ	ɨ̃ m ɨ̃	TUY
103	ɨ̃ m ɨ̃	9	man	~ɨbɨ	ɨ̃ m ɨ̃	WAN
104	ɨ m ɨ	9	man	*ɨmɨ	ɨ m ɨ	*PT
#
105	ɨ̃ n ẽ	10	pupunha	~ɨde	ɨ̃ n ẽ	BAS
106	ɨ̃ n ĩ	10	pupunha	~ɨdi	ɨ̃ n ĩ	DES
107	ɨ̃ n ẽ	10	pupunha	~ɨde	ɨ̃ n ẽ	KAR
108	ɨ n e	10	pupunha	ɨne	ɨ n e	KOR
109	ɨ̃ n ẽ	10	pupunha	~ɨde	ɨ̃ n ẽ	KUB
110	ɨ ʔn e	10	pupunha	ɨʔne	ɨ ʔn e	KUE
111	ɨ̃ n ẽ	10	pupunha	~ɨde	ɨ̃ n ẽ	PIR
112	ɨ n e	10	pupunha	ɨne	ɨ n e	SIO
113	ĩ r̃ ẽ	10	pupunha	~ire	ĩ r̃ ẽ	TAN
114	ɨ̃ n ẽ	10	pupunha	~ɨde	ɨ̃ n ẽ	TUK
115	ɨ̃ n ẽ	10	pupunha	~ɨde	ɨ̃ n ẽ	WAN
116	ɨ n e	10	pupunha	*ɨne	ɨ n e	*PT
#
117	i d i a	11	three	idia	i d i a	BAS
118	ɨ ʔd e	11	three	ɨʔde	ɨ ʔd - e	DES
119	i t i a	11	three	itia	i t i a	KUE
120	i ʔt i a	11	three	iʔtia	i ʔt i a	TUK
121	i t i a	11	three	itia	i t i a	TUY
122	t i a	11	three	tia	- t i a	WAN
123	ɨ tʔ i a	11	three	*ɨtʔia	ɨ tʔ i a	*PT
#
124	ɨ j e	12	grape	ɨje	ɨ j e -	BAS
125	i g i	12	grape	igi	i g i -	DES
126	ɨ s e	12	grape	ɨse	ɨ s e -	KAR
127	ɨ j e	12	grape	ɨje	ɨ j e -	KOR
128	ɨ́ j a i	12	grape	ɨ́jai	ɨ́ j a i	KUB
129	e d e	12	grape	ede	e d e -	MAI
130	ɨ j e	12	grape	ɨje	ɨ j e -	SIO
131	ɨ ʔs e	12	grape	ɨʔse	ɨ ʔs e -	TUK
132	ɨ s e	12	grape	ɨse	ɨ s e -	TUY
133	s e	12	grape	se	- s e -	WAN
134	ɨ ʔj e	12	grape	*ɨʔje	ɨ ʔj e -	*PT
#
135	j e h e	13	heron	jehe	j e h e	BAS
136	j a h i	13	heron	jahi	j a h i	DES
137	j e e	13	heron	jee	j e - e	KAR
138	j a i	13	heron	jai	j a - i	KUB
139	j a i	13	heron	jai	j a - i	MAI
140	j a i	13	heron	jai	j a - i	SEK
141	j a h e	13	heron	jahe	j a h e	TUK
142	j e e	13	heron	yee	j e - e	TUY
143	j a h a	13	heron	jaha	j a h a	WAN
144	j a h i	13	heron	*jahi	j a h i	*PT
#
145	j a i	14	jaguar	jai	( - - ) j a - i ( - )	BAS
146	j e e	14	jaguar	jee	( - - ) j e - e ( - )	DES
147	j a i	14	jaguar	jai	( - - ) j a - i ( - )	KAR
148	j a i	14	jaguar	jai	( - - ) j a - i ( - )	KOR
149	j a w i	14	jaguar	jawi	( - - ) j a w i ( - )	KUB
150	h i j a i	14	jaguar	hijai	( h i ) j a - i ( - )	KUE
151	j a i	14	jaguar	jai	( - - ) j a - i ( - )	MAI
152	j a i	14	jaguar	jai	( - - ) j a - i ( - )	SEK
153	j a i	14	jaguar	jai	( - - ) j a - i ( - )	SIO
154	j a i a	14	jaguar	jaia	( - - ) j a - i ( a )	TAN
155	j a i	14	jaguar	jai	( - - ) j a - i ( - )	TUK
156	j a i	14	jaguar	jai	( - - ) j a - i ( - )	WAN
157	j a i	14	jaguar	*jai	( - - ) j a - i ( - )	*PT
#
158	ã ʔŋ ĩ	15	centipede	~aʔgi	- ã ʔŋ ĩ ( - - - - )	DES
159	a w i m e k ɨ	15	centipede	ãi	- a w i ( m e k ɨ )	KUB
160	ã ʔk ĩ	15	centipede	~aʔki	- ã ʔk ĩ ( - - - - )	TUK
161	m ũ n ĩ	146	centipede	~budi	m ũ n ĩ ( - - - - )	TUY
162	ɲ ã ʔk ĩ	15	centipede	~jaʔki	ɲ ã ʔk ĩ ( - - - - )	WAN
163	j ã kʔ i	15	centipede	*jãkʔi	j ã kʔ i ( - - - - )	*PT
#
164	ɲ ã m ã	16	deer	~jaba	ɲ ã m ã	BAS
165	ɲ ã m ã	16	deer	~jaba	ɲ ã m ã	DES
166	ɲ ã m ã	16	deer	~jaba	ɲ ã m ã	KAR
167	j ã m a	16	deer	jãma	j ã m a	KOR
168	ɲ ã m ã	16	deer	~jaba	ɲ ã m ã	KUB
169	j ã m a	16	deer	jãma	j ã m a	KUE
170	j ã m a	16	deer	jãma	j ã m a	SEK
171	j ã m a	16	deer	jãma	j ã m a	SIO
172	ɲ ã m ã	16	deer	~jaba	ɲ ã m ã	TAN
173	ɲ ã m ã	16	deer	~jaba	ɲ ã m ã	TUK
174	ɲ ã m ã	16	deer	~jaba	ɲ ã m ã	TUY
175	ɲ ã m ã	16	deer	~jaba	ɲ ã m ã	WAN
176	j a m a	16	deer	*jama	j a m a	*PT
#
177	ɲ ã m õ	17	yam	~jabo	ɲ ã m õ	BAS
178	ɲ ã ʔb õ	17	yam	~jaʔbo	ɲ ã ʔb õ	DES
179	ɲ ã m õ	17	yam	~jabo	ɲ ã m õ	KAR
180	j ã h o	17	yam	jãho	j ã h o	KOR
181	ɲ ã m ũ	17	yam	~jabu	ɲ ã m ũ	KUB
182	j a u	17	yam	jau	j a - u	KUE
183	j ã h o	17	yam	jãho	j ã h o	MAI
184	j ã h o	17	yam	jãho	j ã h o	SIO
185	ɲ ã ʔb ũ	17	yam	~jaʔbu	ɲ ã ʔb ũ	TAN
186	ɲ ã ʔb ũ	17	yam	~jaʔbu	ɲ ã ʔb ũ	TUK
187	ɲ ã m ũ	17	yam	~jabu	ɲ ã m ũ	TUY
188	ɲ ã ʔb ũ	17	yam	~jaʔbu	ɲ ã ʔb ũ	WAN
189	j ã pʔ o	17	yam	*jãpʔo	j ã pʔ o	*PT
#
190	ɲ ã h ĩ	18	cará(Dioscorea alata)	~jahi	ɲ ã h ĩ ( - - )	BAS
191	ɲ ã p ĩ	18	cará(Dioscorea alata)	~japi	ɲ ã p ĩ ( - - )	DES
192	ɲ ã p ĩ	18	cará(Dioscorea alata)	~japi	ɲ ã p ĩ ( - - )	KAR
193	j a h i	18	cará(Dioscorea alata)	jahi	j a h i ( - - )	KOR
194	ɲ ã p ĩ	18	cará(Dioscorea alata)	~japi	ɲ ã p ĩ ( - - )	KUB
195	j a h i r i	18	cará(Dioscorea alata)	jahiri	j a h i ( r i )	KUE
196	j a h i	18	cará(Dioscorea alata)	jahi	j a h i ( - - )	SEK
197	ɲ ã ʔp ĩ	18	cará(Dioscorea alata)	~jaʔpi	ɲ ã ʔp ĩ ( - - )	TAN
198	ɲ ã p ĩ	18	cará(Dioscorea alata)	~japi	ɲ ã p ĩ ( - - )	TUK
199	ɲ ã p ĩ	18	cará(Dioscorea alata)	~japi	ɲ ã p ĩ ( - - )	WAN
200	j a p i	18	cará(Dioscorea alata)	*japi	j a p i ( - - )	*PT
#
201	ɲ ĩ k ɨ̃	19	grand-father	~jikɨ	ɲ ĩ k ɨ̃ ( - - )	BAS
202	ɲ ẽ k ɨ̃	19	grand-father	~jekɨ	ɲ ẽ k ɨ̃ ( - - )	DES
203	ɲ ĩ k ɨ̃	19	grand-father	~jikɨ	ɲ ĩ k ɨ̃ ( - - )	KAR
204	j ẽ k u ɨ	19	grand-father	jẽkuɨ	j ẽ k u ( ɨ - )	KOR
205	ɲ ẽ k ũ j õ	19	grand-father	~jekũjo	ɲ ẽ k ũ ( j o )	KUB
206	j ẽ k ɨ	19	grand-father	jẽkɨ	j ẽ k ɨ ( - - )	MAI
207	ɲ ẽ k ɨ̃	19	grand-father	~jekɨ	ɲ ẽ k ɨ̃ ( - - )	TUK
208	ɲ ẽ k ɨ̃	19	grand-father	~jekɨ	ɲ ẽ k ɨ̃ ( - - )	TUY
209	ɲ ɨ̃ t∫ ɨ̃	19	grand-father	~jɨt∫ɨ	ɲ ɨ̃ t∫ ɨ̃ ( - - )	WAN
210	j ẽ kk u	19	grand-father	*jẽkku-	j ẽ kk u ( - - )	*PT
#
211	j e b a	20	land	jeba	j e b a	BAS
212	j e b a	20	land	jeba	j e b a	DES
213	j e p a	20	land	jepa	j e p a	KAR
214	j e h a	20	land	jeha	j e h a	KOR
215	j i b a	20	land	jiba	j i b a	KUB
216	j i h a	20	land	jiha	j i h a	MAI
217	j e h a	20	land	jeha	j e h a	SEK
218	j i h a	20	land	jiha	j i h a	SIO
219	j e ʔp a	20	land	jeʔpa	j e ʔp a	TUK
220	j a ʔp a	20	land	jaʔpa	j a ʔp a	WAN
221	j e pʔ a	20	land	*jepʔa	j e pʔ a	*PT
#
222	j i ʔ o b o	21	mouth2	jiʔobo	j i ʔ o ( b o )	KOR
223	j o	21	mouth2	jo	j - - o ( - - )	MAI
224	j ɨ ʔ o	21	mouth2	jɨʔo	j ɨ ʔ o ( - - )	SEK
225	j i ʔ o b o	21	mouth2	jiʔobo	j i ʔ o ( b o )	SIO
226	j ɨ ʔ o	21	mouth2	*jɨ-ʔo	j ɨ ʔ o ( - - )	*PT
#
227	j ɨ t a	22	kapok	jɨta	j - ɨ t a - ( - )	BAS
228	j u d a	22	kapok	juda	j - u d a - ( - )	DES
229	j i t a	22	kapok	jita	j - i t a - ( - )	KAR
230	o j a	147	kapok	oja	o j a - - ( - - )	KOR
231	j ɨ i	22	kapok	jɨi	j - ɨ - i - ( - )	KUB
232	i ʔ o t a h e	22	kapok	iʔotahe	i ʔ o t a h ( e )	KUE
233	j ɨ i	22	kapok	jɨi	j - ɨ - i - ( - )	SEK
234	j ɨ i	22	kapok	jɨi	j - ɨ - i - ( - )	SIO
235	j u ʔt a	22	kapok	juʔta	j - u - - ʔt ( a )	TAN
236	j u t a	22	kapok	juta	j - u t a - ( - )	TUK
237	j u t a	22	kapok	juta	j - u t a - ( - )	WAN
238	j ɨ i	22	kapok	*jɨi	j - ɨ - i - ( - )	*PT
#
239	ɲ ĩ k ã	23	leg	~jika	ɲ ĩ k ã	BAS
240	ɲ ĩ g ã	23	leg	~jiga	ɲ ĩ g ã	DES
241	ɲ ĩ k ã	23	leg	~jika	ɲ ĩ k ã	KAR
242	j ũ k a	23	leg	jũka	j ũ k a	KOR
